species	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN017.A0101	SYN017.B0101	SYN018.C0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN015.I0101	SYN018.I0101	SYN019.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN028.I0101
Acidovorax sp. RAC01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax antarcticus	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	82	0	0
Hydrogenophaga sp. NH-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga sp. YM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kinneretia sp. DAIF2	0	0	0	0	0	42	0	0	96	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax sp. AJA081-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas serinivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramlibacter tataouinensis	0	0	0	0	89	38	0	0	0	108	0	0	124	225	0	0	0	197	0	185
Alicycliphilus denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pulveribacter suum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melaminivora sp. SC2-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Symbiobacter mobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simplicispira suum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter sp. HDW4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hylemonella gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia sp. 27C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schlegelella thermodepolymerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas sp. JS666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium olei	119	0	113	0	0	31	0	0	361	0	0	0	0	0	0	0	0	0	0	0
Thiomonas arsenitoxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas sp. X19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseateles depolymerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobacter gummiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobacter sp. AJA081-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paucibacter sp. KCTC 42545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptothrix cholodnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerotilus natans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitsuaria sp. 7	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhella inkyongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella hinzii	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium agaricidamnosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium sp. 1_2014MBL_MicDiv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0
Neisseria sicca	53275	42914	123533	1110	63	130	4272	1271	1546	373	99	1099	420	348	89	150	102	531	206	256
Neisseria mucosa	50407	27983	100382	1492	0	0	23796	2949	1714	0	0	0	663	111	0	129	0	0	159	0
Neisseria elongata	15662	9933	28162	323	0	0	2416	357	532	0	0	0	171	95	0	0	0	0	0	0
Neisseria bacilliformis	599	620	1209	0	0	0	109	0	111	0	0	0	0	0	0	0	0	0	0	0
Neisseria sp. KEM232	653	827	1570	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria chenwenguii	489	388	1065	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria meningitidis	10511	6543	21761	357	0	0	6071	673	394	0	0	0	162	0	0	0	0	0	0	0
Neisseria subflava	58277	26355	106466	3230	0	83	55297	5855	3515	216	0	1442	1243	325	0	204	0	333	200	152
Kingella oralis	680	861	2490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingella denitrificans	1858	3682	24190	0	0	0	192	190	97	0	0	0	0	0	0	0	0	0	0	0
Eikenella corrodens	1681	2234	5186	138	50	46	510	273	930	298	73	163	680	266	156	0	0	150	135	158
Aromatoleum bremense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus sp. DN11	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	79	0	0	0	0
Bradyrhizobium sp. PSBB068	430	388	558	470	191	154	0	0	1471	0	0	111	131	136	0	0	92	0	111	0
Bradyrhizobium sp. BTAi1	69	123	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. SK17	150	219	89	0	0	0	0	0	171	0	0	0	0	75	0	0	0	0	0	0
Bradyrhizobium betae	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	94	0	0	0	0
Sinorhizobium meliloti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caenibius tardaugens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocella silvestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas alpina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium baderi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qipengyuania flava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsuneonella amylolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospirillum sp. XM-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter vibrioides	0	0	0	0	72	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas azotoformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. SCB32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas stutzeri	0	0	0	0	0	0	0	0	0	124	0	0	150	160	0	201	90	158	202	182
Pseudomonas putida	0	0	83	0	47	31	0	0	0	0	0	5340	0	0	0	0	0	0	153	0
Pseudomonas aeruginosa	0	0	0	0	207	74	0	0	0	93	0	184	165	171	0	90	86	150	0	157
Acinetobacter johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0
Moraxella osloensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella michiganensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia coli	0	0	0	0	0	0	0	84	109	0	0	175	0	0	94	0	0	104	95	0
Raoultella terrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus parainfluenzae	29080	35618	33925	2124	95	184	143497	10349	24216	896	25505	4511	2790	1726	551	2151	853	3595	1958	4804
Aggregatibacter aphrophilus	7500	4488	6019	113	0	0	2686	272	11236	0	90	131	75	0	0	0	0	0	0	126
Xanthomonas campestris	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas acidaminiphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodanobacter sp. FDAARGOS 1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyella caseinilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	100	0
Ectothiorhodospira sp. BSL-9	0	0	0	0	78	64	0	0	0	0	0	0	92	124	0	0	0	100	0	0
Shewanella sp. FJAT-51800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. ASNIH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 169	23344	39249	22674	557	181	171	265	276	4264	9797	114	233	2203	8254	181	2364	17648	3780	10487	2630
Actinomyces sp. HMT 175	8083	15547	9738	222	49	80	114	204	2350	6080	73	125	1943	5495	101	1483	12126	2278	6708	1898
Actinomyces sp. oral taxon 171	20419	40938	36199	310	47	78	133	223	4993	16444	150	301	3130	13809	308	3493	29137	5945	17700	4157
Actinomyces sp. oral taxon 414	4613	6588	10354	144	0	37	0	112	349	688	217	81	414	719	89	281	1243	451	1538	278
Actinomyces oris	31894	59347	40947	715	114	201	519	649	9238	25859	297	418	6099	23163	465	6124	48511	9418	28240	6780
Actinomyces naeslundii	15567	37310	23732	281	53	63	236	144	2382	6518	139	95	1424	5676	153	1481	11952	2411	7158	1794
Actinomyces viscosus	4937	10993	9642	151	0	35	0	109	2374	6772	189	96	1376	6227	131	1498	13085	2525	7816	1692
Actinomyces lilanjuaniae	146	276	312	0	0	0	0	0	0	183	0	0	110	157	0	0	257	82	233	0
Actinomyces marmotae	173	352	394	0	0	0	0	0	97	119	111	0	117	151	0	0	241	67	180	0
Schaalia odontolytica	157189	351922	308792	140758	13152	15851	39546	45050	96829	9775	239504	164	232430	43953	33419	51510	48087	35953	53786	51885
Rothia aeria	31508	57536	88479	670	93	112	2708	347	1115	195	0	146	141	196	0	0	137	230	103	163
Rothia dentocariosa	65869	164109	157823	1053	87	72	2268	1172	853	0	0	0	0	0	0	0	0	0	0	0
Dermacoccus nishinomiyaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. RG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium matruchotii	2268	8357	4319	109	0	38	0	0	315	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium tuberculostearicum	0	94	115	0	0	0	0	0	0	0	0	0	73	0	0	131	0	78	117	0
Corynebacterium kutscheri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardia brasiliensis	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus sp. PBTS 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium acnes	405	267	297	180	0	38	0	0	251	0	124	0	237	0	0	0	90	0	0	0
Pseudopropionibacterium propionicum	16544	29619	41313	211	212	99	112	110	475	149	431	0	678	438	138	178	221	265	232	158
Frankia inefficax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sanguinis	102499	154327	167736	11734	1308	1162	60854	91778	107338	10883	6554	2305	1910	1247	17854	1315	938	8264	4676	6196
Streptococcus oralis	175110	388230	359759	162600	6471	13729	1366083	131104	61646	11222	5806	3275	2161	3258	9953	2639	1580	9517	3297	27051
Streptococcus cristatus	44785	122503	80671	71670	2340	1660	362969	965171	450845	5770	3102	2388	4096	657	10948	2607	4040	7998	30079	10017
Streptococcus gordonii	23968	45025	40056	10391	657	592	33514	42241	33637	3076	4687	431	1938	1089	13718	1098	324	2693	2632	5727
Streptococcus mitis	84776	205768	220589	13476	1289	1300	185143	14876	8902	2212	1421	1985	557	580	4288	797	388	1748	1089	2079
Streptococcus parauberis	514	1073	814	401	70	29	632	495	300	237	185	88	129	85	828	119	0	133	167	133
Streptococcus intermedius	4247	8411	5606	1874	650	632	4026	4955	17999	54512	40892	2677	7393	5930	313415	2832	1613	37394	10970	26609
Lactococcus cremoris	90	191	153	325	90	59	186	101	236	247	222	161	109	115	336	138	87	145	130	144
Abiotrophia defectiva	48957	115803	134524	2934	52	34	222209	95302	17408	184	115	318	161	437	0	2640	1272	1535	3407	1798
Marinilactibacillus sp. 15R	85	190	129	0	0	0	267	230	109	106	98	155	125	107	125	0	85	134	146	100
Gemella morbillorum	5022	9280	12235	2307	2513	1550	8622	2419	2386	3419	2856	1661	2387	2962	2188	2367	1869	4791	3361	4184
Staphylococcus epidermidis	73	103	0	0	0	0	143	92	0	193	135	104	119	84	232	0	0	209	96	129
Veillonella parvula	14882	19547	18501	346632	63199	230338	1954349	2940596	1741487	2047583	2605711	883855	1975560	2521103	2040901	1247886	3400842	2433319	3514640	4710122
Clostridium botulinum	108	149	143	422	156	56	220	239	400	495	331	695	389	344	1176	319	201	567	562	486
Capnocytophaga gingivalis	3066	4801	13219	103	0	0	0	109	0	0	0	0	0	0	0	0	0	0	135	0
Capnocytophaga sputigena	10239	13025	37809	0	66	36	0	85	0	0	0	0	184	0	0	78	0	0	135	101
Flavobacterium commune	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium glaciei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella oris	19339	9764	10614	41538	98826	52335	1477	6976	12735	206602	150075	749015	234015	694426	89535	438219	795098	421358	1550552	182766
Leptotrichia sp. oral taxon 212	1160	972	1186	348	82	92	1489	1109	1488	424	458	635	393	404	957	132	165	721	295	388
Leptotrichia sp. oral taxon 498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0
Homo sapiens	139627	55567	58466	27366	20990	18789	26902	23424	34966	22903	20761	29406	28488	27177	26261	26157	28176	26447	35860	31955
Rothia mucilaginosa	3194424	3440696	1722223	7594	554	783	178552	2815	3090	1123	4726	2478	4970	2296	828	1871	2465	1370	2346	1566
Rothia sp. ZJ932	395	457	245	0	0	0	0	0	0	0	0	0	79	108	0	0	0	0	0	0
Rothia nasimurium	349	447	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia terrae	202	362	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia kristinae	101	97	165	0	107	0	0	0	0	0	0	0	140	168	0	78	0	91	0	0
Rothia amarae	68	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter sp. QXT-31	125	133	109	0	0	0	0	0	0	0	0	0	0	81	0	72	0	78	0	109
Arthrobacter alpinus	84	100	106	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
Arthrobacter crystallopoietes	71	104	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria sp. TGY1127_2	75	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria flava	112	157	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria turfanensis	92	113	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria palustris	77	102	143	0	0	0	0	0	0	0	0	0	78	143	0	0	0	88	0	165
Auritidibacter sp. NML130574	402	406	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter creatinolyticus	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus luteus	73	100	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium oxydans	134	174	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium hominis	84	162	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylanimonas allomyrinae	312	285	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium aurantiacum	98	303	281	0	0	0	0	0	0	0	0	0	0	93	0	0	0	88	0	0
Georgenia sp. Z443	91	183	256	0	0	0	0	0	0	0	126	0	96	72	0	0	0	75	0	0
Schaalia meyeri	4275	8157	9379	3094	530	638	648	1070	3591	596	24360	86	14693	9661	10283	2014	2700	6842	2917	1887
Schaalia cardiffensis	300	628	743	243	0	54	0	97	242	86	1001	0	732	422	395	175	183	315	232	150
Schaalia sp. ZJ405	150	249	302	0	0	0	0	0	95	0	450	0	431	162	184	0	0	147	0	0
Actinomyces sp. ZJ34	386	638	807	0	0	0	0	0	111	287	151	0	264	322	0	72	443	210	370	179
Actinomyces sp. ZJ750	367	706	795	0	0	0	0	0	125	238	201	0	219	298	90	93	430	174	339	0
Actinomyces sp. Chiba101	282	560	570	0	199	99	0	0	127	369	249	0	311	556	96	147	542	358	355	238
Actinomyces sp. Z16	256	432	495	0	0	0	0	0	123	211	178	0	169	241	89	0	303	138	252	0
Actinomyces sp. zg-993	213	363	477	115	0	0	0	0	155	242	278	0	199	280	0	91	387	186	358	211
Actinomyces sp. 432	197	333	407	0	154	85	0	0	0	230	112	0	215	358	0	94	329	264	269	216
Actinomyces sp. HMT897	98	199	189	0	0	0	0	0	0	77	0	0	0	98	0	0	142	0	128	0
Actinomyces sp. oral taxon 897	69	113	134	0	0	0	0	0	0	83	0	0	0	0	0	0	114	0	0	0
Actinomyces pacaensis	17350	30696	38753	929	126	193	2272	1264	3800	33815	7811	401	60506	51472	34169	16491	2061	6305	25761	21019
Actinomyces slackii	528	931	931	0	0	0	0	0	177	380	158	0	222	380	0	127	700	190	494	109
Actinomyces howellii	379	689	788	0	0	0	0	0	140	250	194	0	168	300	85	73	434	150	338	0
Actinomyces radicidentis	374	654	804	0	73	0	0	0	107	259	262	0	354	396	100	106	411	270	295	187
Actinomyces procaprae	225	380	486	0	0	0	0	0	0	122	98	0	136	125	0	0	201	79	191	0
Actinomyces weissii	209	361	466	0	51	37	0	0	0	148	166	0	199	183	98	115	216	146	234	0
Actinomyces qiguomingii	200	370	387	0	0	0	0	0	0	161	0	0	164	244	0	0	274	148	200	142
Actinomyces wuliandei	189	319	326	0	0	0	0	0	0	157	0	0	111	156	0	0	278	68	204	0
Actinomyces israelii	157	318	327	0	0	36	0	0	0	136	99	0	182	119	0	0	192	126	230	0
Actinomyces gaoshouyii	126	277	314	0	0	0	0	0	0	98	73	0	99	130	0	0	228	74	118	0
Pauljensenia hongkongensis	1790	3410	4433	857	123	180	176	323	908	123	5776	0	4182	2144	2397	394	597	1818	857	473
Trueperella sp. 19M2397	71	111	176	0	0	0	0	0	0	0	90	0	98	0	0	0	0	0	0	0
Trueperella pyogenes	99	185	240	0	0	40	0	0	0	112	156	0	217	180	220	100	235	132	105	134
Flaviflexus sp. dk850	88	163	225	0	0	0	0	0	0	0	89	0	81	0	0	0	0	0	0	0
Flaviflexus salsibiostraticola	130	203	386	0	0	0	0	0	0	0	104	0	0	0	0	76	0	0	0	0
Arcanobacterium sp. JY-X040	97	155	249	0	106	42	0	0	0	0	0	0	76	0	0	0	0	0	0	0
Actinobaculum sp. 313	133	234	430	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0
Winkia sp. C64	77	140	221	0	0	31	0	0	0	94	179	0	243	188	0	136	116	151	197	154
Tessaracoccus aquimaris	109	264	242	0	128	69	0	0	0	0	0	0	78	121	0	0	0	81	0	0
Tessaracoccus flavus	95	261	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tessaracoccus defluvii	93	241	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tessaracoccus flavescens	84	245	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tessaracoccus sp. MC1865	81	210	175	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium avidum	135	201	173	0	0	0	0	0	0	80	0	0	119	79	0	127	95	87	146	0
Propionibacterium australiense	149	227	228	0	0	0	0	0	0	0	0	0	86	130	0	0	0	99	0	121
Propionibacterium acidifaciens	93	171	202	0	0	0	0	0	0	96	0	0	104	78	0	119	0	81	134	0
Corynebacterium bovis	598	177	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium sp. Marseille-Q3630	121	115	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium argentoratense	106	234	160	164	0	0	0	0	93	0	255	0	0	0	0	0	0	0	0	0
Corynebacterium jeikeium	101	112	98	0	0	0	0	0	0	0	0	0	85	112	0	0	0	78	0	101
Corynebacterium aquilae	81	131	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium sanguinis	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium vitaeruminis	73	105	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces lividans	98	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0
Scardovia inopinata	146	196	148	0	128	72	0	0	0	0	0	0	93	120	0	0	0	109	0	0
Micromonospora maris	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella parvula	9476	7725	8468	98812	19057	44506	11901	58093	91094	159006	115688	317145	192739	242877	113003	97987	291789	90748	56257	136195
Olsenella sp. oral taxon 807	2475	3966	6800	571	981	688	322	269	429	1478	631	1122	2316	2303	257	2159	1754	1841	2464	1576
Olsenella uli	95	122	117	5845	3361	3373	4141	2899	5474	14369	6857	12303	14580	14392	1869	20842	16682	12612	23282	11609
Collinsella aerofaciens	91	115	124	1345	1132	965	1053	780	1419	4386	2208	2920	4886	4512	597	5447	4462	4048	6469	3855
Cryptobacterium curtum	437	532	551	24030	28999	29525	1068	14953	7935	17404	14701	309	22228	25011	152	719	17099	6558	925	96119
Streptococcus sp. LPB0220	167775	220880	171034	207413	21769	9748	177909	187319	94831	1690	1238	695	2755	2086	630	2950	972	1607	780	6845
Streptococcus sp. HSISM1	156321	216254	163237	187449	19187	8608	165718	167488	86560	382	429	605	2368	1802	362	2628	861	632	701	5591
Streptococcus sp. oral taxon 431	116441	338388	250500	38307	405	283	58430	19221	11733	237	212	271	237	156	646	267	88	294	199	453
Streptococcus sp. oral taxon 061	115898	323094	286971	13552	619	358	44261	17768	9938	670	419	498	326	260	669	232	137	674	298	633
Streptococcus sp. A12	92578	171364	99466	21524	1840	867	69153	25035	11606	579	351	385	338	234	563	340	137	433	167	907
Streptococcus sp. I-P16	28081	44057	29693	9637	818	449	21919	11122	5241	0	79	0	252	135	292	250	0	0	0	419
