count	species	sample	rel_abund	sum_abund
830	Rhodoferax sp. AJA081-3	JAE006.A0101	1.4993537243512964e-5	1
1178	Rhodoferax ferrireducens	JAE006.A0101	2.1279984184166595e-5	1
1104	Rhodoferax sediminis	JAE006.A0101	1.9943210984142543e-5	1
746	Rhodoferax antarcticus	JAE006.A0101	1.347611901645864e-5	1
703	Rhodoferax koreense	JAE006.A0101	1.2699345400228452e-5	1
966	Diaphorobacter sp. HDW4A	JAE006.A0101	1.7450309611124726e-5	1
682	Diaphorobacter sp. HDW4B	JAE006.A0101	1.231999084346487e-5	1
952	Diaphorobacter aerolatus	JAE006.A0101	1.719740657328234e-5	1
880	Diaphorobacter ruginosibacter	JAE006.A0101	1.5896762378664347e-5	1
2054	Serpentinomonas mccroryi	JAE006.A0101	3.710448855201883e-5	1
1771	Serpentinomonas raichei	JAE006.A0101	3.1992234287062e-5	1
1318	Polaromonas sp. JS666	JAE006.A0101	2.3809014562590468e-5	1
790	Polaromonas naphthalenivorans	JAE006.A0101	1.427095713539186e-5	1
3467	Alicycliphilus denitrificans	JAE006.A0101	6.262963087139692e-5	1
829	Delftia acidovorans	JAE006.A0101	1.4975472740809938e-5	1
1745	Pulveribacter suum	JAE006.A0101	3.152255721678328e-5	1
1573	Melaminivora sp. SC2-9	JAE006.A0101	2.8415462751862523e-5	1
959	Limnohabitans sp. 63ED37-2	JAE006.A0101	1.7323858092203535e-5	1
1453	Ramlibacter tataouinensis	JAE006.A0101	2.62477224274992e-5	1
1406	Hylemonella gracilis	JAE006.A0101	2.5398690800456903e-5	1
1006	Verminephrobacter eiseniae	JAE006.A0101	1.8172889719245833e-5	1
715	Simplicispira suum	JAE006.A0101	1.2916119432664784e-5	1
709	Schlegelella thermodepolymerans	JAE006.A0101	1.2807732416446617e-5	1
661	Kinneretia sp. DAIF2	JAE006.A0101	1.1940636286701288e-5	1
3943763	Lautropia mirabilis	JAE006.A0101	0.0712421173736005	1
13937	Ralstonia solanacearum	JAE006.A0101	2.5176497417209664e-4	1
3886	Ralstonia mannitolilytica	JAE006.A0101	7.019865750396552e-5	1
620	Burkholderia gladioli	JAE006.A0101	1.1199991675877157e-5	1
1858	Cupriavidus taiwanensis	JAE006.A0101	3.356384602222541e-5	1
932	Cupriavidus pauculus	JAE006.A0101	1.6836116519221788e-5	1
1053	Pandoraea pnomenusa	JAE006.A0101	1.9021921346288135e-5	1
777	Bordetella petrii	JAE006.A0101	1.40361186002525e-5	1
614	Bordetella bronchiseptica	JAE006.A0101	1.1091604659658988e-5	1
1748	Achromobacter xylosoxidans	JAE006.A0101	3.1576750724892364e-5	1
721	Achromobacter spanius	JAE006.A0101	1.3024506448882947e-5	1
558	Achromobacter insolitus	JAE006.A0101	1.0079992508289438e-5	1
617	Pigmentiphaga aceris	JAE006.A0101	1.114579816776807e-5	1
565	Pigmentiphaga sp. H8	JAE006.A0101	1.0206444027210632e-5	1
607	Alcaligenes faecalis	JAE006.A0101	1.0965153140737797e-5	1
683	Castellaniella defragrans	JAE006.A0101	1.2338055346167898e-5	1
641	Orrella dioscoreae	JAE006.A0101	1.1579346232640737e-5	1
1262	Massilia oculi	JAE006.A0101	2.279740241122092e-5	1
1143	Janthinobacterium sp. Marseille	JAE006.A0101	2.0647726589560623e-5	1
727	Herbaspirillum rubrisubalbicans	JAE006.A0101	1.3132893465101116e-5	1
988	Thiomonas sp. X19	JAE006.A0101	1.7847728670591338e-5	1
1685	Paucibacter sp. KCTC 42545	JAE006.A0101	3.0438687054601622e-5	1
833	Rhizobacter gummiphilus	JAE006.A0101	1.5047730751622049e-5	1
1012	Aquabacterium olei	JAE006.A0101	1.8281276735464e-5	1
853	Xylophilus rhododendri	JAE006.A0101	1.54090208056826e-5	1
661	Roseateles depolymerans	JAE006.A0101	1.1940636286701288e-5	1
560	Sphaerotilus natans	JAE006.A0101	1.0116121513695496e-5	1
3513666	Neisseria elongata	JAE006.A0101	0.06347262895453641	1
2789825	Neisseria mucosa	JAE006.A0101	0.05039680125347416	1
2013396	Neisseria sicca	JAE006.A0101	0.03637099748426509	1
195129	Neisseria sp. oral taxon 014	JAE006.A0101	0.00352490834793908	1
42095	Neisseria sp. KEM232	JAE006.A0101	7.604252412839498e-4	1
6905	Neisseria sp. ZJ785	JAE006.A0101	1.2473539116440605e-4	1
6198	Neisseria sp. 10022	JAE006.A0101	1.119637877533655e-4	1
172608	Neisseria meningitidis	JAE006.A0101	0.0031180776825642	1
120788	Neisseria subflava	JAE006.A0101	0.0021819751524933	1
73759	Neisseria lactamica	JAE006.A0101	0.00133241965487261	1
39769	Neisseria gonorrhoeae	JAE006.A0101	7.184072079967073e-4	1
38473	Neisseria cinerea	JAE006.A0101	6.949956124935835e-4	1
30750	Neisseria polysaccharea	JAE006.A0101	5.554834581181008e-4	1
29488	Neisseria bacilliformis	JAE006.A0101	5.326860557068799e-4	1
29330	Neisseria flavescens	JAE006.A0101	5.298318642798015e-4	1
15107	Neisseria chenwenguii	JAE006.A0101	2.72900442334639e-4	1
12506	Neisseria animalis	JAE006.A0101	2.2591467080406403e-4	1
11449	Neisseria brasiliensis	JAE006.A0101	2.0682049144696375e-4	1
8149	Neisseria animaloris	JAE006.A0101	1.4720763252697248e-4	1
7576	Neisseria dentiae	JAE006.A0101	1.368566724781376e-4	1
7460	Neisseria weaveri	JAE006.A0101	1.347611901645864e-4	1
7215	Neisseria zoodegmatis	JAE006.A0101	1.3033538700234462e-4	1
7015	Neisseria shayeganii	JAE006.A0101	1.267224864617391e-4	1
6461	Neisseria musculi	JAE006.A0101	1.1671475196426175e-4	1
5075	Neisseria canis	JAE006.A0101	9.167735121786542e-5	1
4923	Neisseria zalophi	JAE006.A0101	8.893154680700521e-5	1
4555	Neisseria wadsworthii	JAE006.A0101	8.228380981229103e-5	1
1634459	Eikenella corrodens	JAE006.A0101	0.0295256890234879	1
209251	Eikenella exigua	JAE006.A0101	0.00378001525511124	1
102991	Kingella denitrificans	JAE006.A0101	0.00186048119788752	1
6294	Kingella oralis	JAE006.A0101	1.1369798001285616e-4	1
2228	Kingella kingae	JAE006.A0101	4.024771202234565e-5	1
3369	Simonsiella muelleri	JAE006.A0101	6.0859309606500215e-5	1
1653	Conchiformibius steedae	JAE006.A0101	2.9860622968104737e-5	1
944	Vitreoscilla filiformis	JAE006.A0101	1.7052890551658118e-5	1
887	Alysiella filiformis	JAE006.A0101	1.6023213897585542e-5	1
565	Chitinolyticbacter meiyuanensis	JAE006.A0101	1.0206444027210632e-5	1
1671	Jeongeupia sp. USM3	JAE006.A0101	3.0185784016759232e-5	1
1410	Laribacter hongkongensis	JAE006.A0101	2.5470948811269012e-5	1
643	Aquaspirillum sp. LM1	JAE006.A0101	1.1615475238046793e-5	1
556	Microvirgula aerodenitrificans	JAE006.A0101	1.0043863502883384e-5	1
5396	Thauera sp. MZ1T	JAE006.A0101	9.74760565855373e-5	1
2293	Sulfuritortus calidifontis	JAE006.A0101	4.142190469804244e-5	1
751	Sulfuriferula plumbiphila	JAE006.A0101	1.3566441529973778e-5	1
6080638	Aggregatibacter aphrophilus	JAE006.A0101	0.10984370158713276	1
315815	Aggregatibacter segnis	JAE006.A0101	0.00570504092115668	1
206358	Aggregatibacter sp. 2125159857	JAE006.A0101	0.00372775464879138	1
72395	Aggregatibacter actinomycetemcomitans	JAE006.A0101	0.00130777967318568	1
391062	Haemophilus parainfluenzae	JAE006.A0101	0.0070643405560514	1
35930	Haemophilus influenzae	JAE006.A0101	6.490575821197841e-4	1
22302	Haemophilus haemolyticus	JAE006.A0101	4.0287453928292e-4	1
9742	Haemophilus pittmaniae	JAE006.A0101	1.7598438533289554e-4	1
8654	Haemophilus sp. oral taxon 036	JAE006.A0101	1.5633020639200143e-4	1
3867	Haemophilus parahaemolyticus	JAE006.A0101	6.985543195260799e-5	1
1397	[Haemophilus] ducreyi	JAE006.A0101	2.5236110276129652e-5	1
3914	Actinobacillus sp. GY-402	JAE006.A0101	7.07044635796503e-5	1
2843	Actinobacillus succinogenes	JAE006.A0101	5.135738118470766e-5	1
2192	Actinobacillus pleuropneumoniae	JAE006.A0101	3.959738992503665e-5	1
1721	Actinobacillus equuli	JAE006.A0101	3.108900915191062e-5	1
1629	Actinobacillus porcitonsillarum	JAE006.A0101	2.9427074903232073e-5	1
1035	Actinobacillus indolicus	JAE006.A0101	1.8696760297633636e-5	1
1014	Actinobacillus delphinicola	JAE006.A0101	1.8317405740870055e-5	1
982	Actinobacillus lignieresii	JAE006.A0101	1.773934165437317e-5	1
969	Actinobacillus suis	JAE006.A0101	1.7504503119233812e-5	1
12292	Pasteurella multocida	JAE006.A0101	2.220488672256161e-4	1
863	Pasteurella skyensis	JAE006.A0101	1.5589665832712878e-5	1
4586	Mannheimia granulomatis	JAE006.A0101	8.284380939608488e-5	1
2662	Mannheimia varigena	JAE006.A0101	4.8087706195459656e-5	1
2647	Mannheimia haemolytica	JAE006.A0101	4.781673865491424e-5	1
771	Mannheimia bovis	JAE006.A0101	1.3927731584034332e-5	1
5210	Rodentibacter heylii	JAE006.A0101	9.411605908277416e-5	1
3998	Rodentibacter sp. DSM 111151	JAE006.A0101	7.222188180670461e-5	1
3992	Avibacterium paragallinarum	JAE006.A0101	7.211349479048645e-5	1
2269	Avibacterium volantium	JAE006.A0101	4.098835663316978e-5	1
643	[Mannheimia] succiniciproducens	JAE006.A0101	1.1615475238046793e-5	1
2038	Glaesserella parasuis	JAE006.A0101	3.681545650877039e-5	1
1527	Glaesserella sp. 15-184	JAE006.A0101	2.758449562752325e-5	1
2420	Histophilus somni	JAE006.A0101	4.3716096541326955e-5	1
2086	Bibersteinia trehalosi	JAE006.A0101	3.7682552638515715e-5	1
2022	Gallibacterium anatis	JAE006.A0101	3.6526424465521944e-5	1
1467	Bisgaardia hudsonensis	JAE006.A0101	2.650062546534159e-5	1
1452	Frederiksenia canicola	JAE006.A0101	2.6229657924796175e-5	1
1185	Otariodibacter oris	JAE006.A0101	2.1406435703087787e-5	1
278374	Cardiobacterium hominis	JAE006.A0101	0.00502868787545262	1
1328	Klebsiella pneumoniae	JAE006.A0101	2.3989659589620745e-5	1
1906	Escherichia coli	JAE006.A0101	3.443094215197074e-5	1
2113	Salmonella enterica	JAE006.A0101	3.8170294211497466e-5	1
757	Cronobacter sakazakii	JAE006.A0101	1.3674828546191944e-5	1
674	Providencia rettgeri	JAE006.A0101	1.2175474821840649e-5	1
646	Proteus vulgaris	JAE006.A0101	1.1669668746155874e-5	1
702	Morganella morganii	JAE006.A0101	1.2681280897525424e-5	1
757	Dickeya zeae	JAE006.A0101	1.3674828546191944e-5	1
573	Pectobacterium carotovorum	JAE006.A0101	1.0350960048834856e-5	1
6575	Pseudomonas aeruginosa	JAE006.A0101	1.1877410527240692e-4	1
964	Pseudomonas fluorescens	JAE006.A0101	1.7414180605718673e-5	1
1460	Pseudomonas putida	JAE006.A0101	2.6374173946420397e-5	1
1398	Pseudomonas stutzeri	JAE006.A0101	2.525417477883268e-5	1
667	Pseudomonas chlororaphis	JAE006.A0101	1.2049023302919455e-5	1
554	Azotobacter chroococcum	JAE006.A0101	1.0007734497477328e-5	1
1050	Moraxella catarrhalis	JAE006.A0101	1.8967727838179053e-5	1
1009	Moraxella bovis	JAE006.A0101	1.8227083227354916e-5	1
924	Moraxella nonliquefaciens	JAE006.A0101	1.6691600497597566e-5	1
917	Moraxella cuniculi	JAE006.A0101	1.656514897867637e-5	1
634	Moraxella osloensis	JAE006.A0101	1.1452894713719542e-5	1
590	Acinetobacter baumannii	JAE006.A0101	1.0658056594786324e-5	1
29005	Stenotrophomonas maltophilia	JAE006.A0101	5.239609009013175e-4	1
2923	Stenotrophomonas sp. CW117	JAE006.A0101	5.280254140094987e-5	1
752	Stenotrophomonas acidaminiphila	JAE006.A0101	1.3584506032676806e-5	1
605	Thermomonas sp. XSG	JAE006.A0101	1.092902413533174e-5	1
1004	Sulfurivermis fontis	JAE006.A0101	1.813676071383978e-5	1
897	Methylococcus capsulatus	JAE006.A0101	1.620385892461582e-5	1
608	Sinimarinibacterium sp. NLF-5-8	JAE006.A0101	1.0983217643440825e-5	1
92443	Campylobacter showae	JAE006.A0101	0.00166993682337598	1
18801	Campylobacter rectus	JAE006.A0101	3.396307153196232e-4	1
6812	Campylobacter concisus	JAE006.A0101	1.2305539241302447e-4	1
1685	Campylobacter gracilis	JAE006.A0101	3.0438687054601622e-5	1
905	Campylobacter curvus	JAE006.A0101	1.634837494624004e-5	1
5215	Desulfobulbus oralis	JAE006.A0101	9.420638159628927e-5	1
575	Rhodopseudomonas palustris	JAE006.A0101	1.038708905424091e-5	1
8128836	Streptococcus sanguinis	JAE006.A0101	0.14684337989446863	1
453792	Streptococcus gordonii	JAE006.A0101	0.00819752681061233	1
307423	Streptococcus oralis	JAE006.A0101	0.00555344361447287	1
134538	Streptococcus sp. NPS 308	JAE006.A0101	0.00243036206465993	1
15530	Streptococcus sp. 1643	JAE006.A0101	2.805417269780197e-4	1
14286	Streptococcus sp. oral taxon 061	JAE006.A0101	2.5806948561545327e-4	1
11430	Streptococcus sp. oral taxon 064	JAE006.A0101	2.0647726589560623e-4	1
8685	Streptococcus sp. oral taxon 431	JAE006.A0101	1.568902059757953e-4	1
3988	Streptococcus sp. 116-D4	JAE006.A0101	7.204123677967434e-5	1
2943	Streptococcus sp. A12	JAE006.A0101	5.316383145501043e-5	1
2253	Streptococcus sp. I-G2	JAE006.A0101	4.069932458992134e-5	1
2040	Streptococcus sp. LPB0220	JAE006.A0101	3.6851585514176447e-5	1
1905	Streptococcus sp. KS 6	JAE006.A0101	3.441287764926771e-5	1
1609	Streptococcus sp. HSISM1	JAE006.A0101	2.9065784849171517e-5	1
1066	Streptococcus sp. HSISS3	JAE006.A0101	1.9256759881427495e-5	1
938	Streptococcus sp. I-P16	JAE006.A0101	1.6944503535439953e-5	1
782	Streptococcus sp. FDAARGOS_192	JAE006.A0101	1.4126441113767638e-5	1
730	Streptococcus sp. NSJ-72	JAE006.A0101	1.3187086973210198e-5	1
670	Streptococcus sp. zg-86	JAE006.A0101	1.2103216811028538e-5	1
201798	Streptococcus cristatus	JAE006.A0101	0.00364538051646557	1
31565	Streptococcus intermedius	JAE006.A0101	5.702060278210683e-4	1
7598	Streptococcus anginosus	JAE006.A0101	1.3725409153760422e-4	1
4863	Streptococcus constellatus	JAE006.A0101	8.784767664482355e-5	1
38726	Streptococcus mitis	JAE006.A0101	6.995659316774495e-4	1
35331	Streptococcus pneumoniae	JAE006.A0101	6.382369450006705e-4	1
18261	Streptococcus australis	JAE006.A0101	3.2987588385998827e-4	1
7738	Streptococcus suis	JAE006.A0101	1.397831219160281e-4	1
6494	Streptococcus salivarius	JAE006.A0101	1.1731088055346168e-4	1
2893	Streptococcus equi	JAE006.A0101	5.226060631985904e-5	1
1578	Streptococcus dysgalactiae	JAE006.A0101	2.850578526537766e-5	1
3549	Streptococcus gwangjuense	JAE006.A0101	6.411092009304519e-5	1
3514	Streptococcus thermophilus	JAE006.A0101	6.347866249843922e-5	1
3489	Streptococcus parasanguinis	JAE006.A0101	6.302704993086354e-5	1
2971	Streptococcus agalactiae	JAE006.A0101	5.3669637530695205e-5	1
2246	Streptococcus pseudopneumoniae	JAE006.A0101	4.057287307100014e-5	1
2114	Streptococcus sobrinus	JAE006.A0101	3.818835871420049e-5	1
1840	Streptococcus mutans	JAE006.A0101	3.323868497357091e-5	1
1821	Streptococcus pyogenes	JAE006.A0101	3.289545942221338e-5	1
1702	Streptococcus milleri	JAE006.A0101	3.0745783600553095e-5	1
1674	Streptococcus himalayensis	JAE006.A0101	3.023997752486832e-5	1
1468	Streptococcus ratti	JAE006.A0101	2.6518689968044615e-5	1
1396	Streptococcus equinus	JAE006.A0101	2.5218045773426626e-5	1
1278	Streptococcus respiraculi	JAE006.A0101	2.308643445446936e-5	1
1264	Streptococcus ferus	JAE006.A0101	2.2833531416626978e-5	1
1183	Streptococcus pseudoporcinus	JAE006.A0101	2.137030669768173e-5	1
1112	Streptococcus uberis	JAE006.A0101	2.0087727005766768e-5	1
1061	Streptococcus vestibularis	JAE006.A0101	1.9166437367912357e-5	1
1030	Streptococcus porcinus	JAE006.A0101	1.8606437784118497e-5	1
1005	Streptococcus periodonticum	JAE006.A0101	1.8154825216542807e-5	1
997	Streptococcus koreensis	JAE006.A0101	1.8010309194918585e-5	1
868	Streptococcus pluranimalium	JAE006.A0101	1.5679988346228017e-5	1
833	Streptococcus merionis	JAE006.A0101	1.5047730751622049e-5	1
612	Streptococcus gallolyticus	JAE006.A0101	1.1055475654252934e-5	1
595	Streptococcus halotolerans	JAE006.A0101	1.0748379108301464e-5	1
577	Streptococcus acidominimus	JAE006.A0101	1.0423218059646964e-5	1
65272	Abiotrophia defectiva	JAE006.A0101	0.00117910622043202	1
1672	Gemella morbillorum	JAE006.A0101	3.0203848519462266e-5	1
2420	Lachnoanaerobaculum umeaense	JAE006.A0101	4.3716096541326955e-5	1
2644	Filifactor alocis	JAE006.A0101	4.7762545146805154e-5	1
1276	Mogibacterium pumilum	JAE006.A0101	2.3050305449063305e-5	1
6342	Selenomonas sp. oral taxon 920	JAE006.A0101	1.1456507614260149e-4	1
2029	Selenomonas sp. Marseille-Q3039	JAE006.A0101	3.665287598444314e-5	1
1793	Selenomonas sp. oral taxon 126	JAE006.A0101	3.238965334652861e-5	1
1348	Parvimonas micra	JAE006.A0101	2.4350949643681297e-5	1
2916830	Rothia aeria	JAE006.A0101	0.05269108341927219	1
445475	Rothia dentocariosa	JAE006.A0101	0.00804728434163125	1
33225	Rothia mucilaginosa	JAE006.A0101	6.001931023080942e-4	1
2759	Rothia terrae	JAE006.A0101	4.9839962957653336e-5	1
572	Rothia sp. ZJ932	JAE006.A0101	1.0332895546131828e-5	1
242326	Actinomyces sp. oral taxon 171	JAE006.A0101	0.00437749868201388	1
207637	Actinomyces sp. HMT897	JAE006.A0101	0.00375085914774855	1
198246	Actinomyces sp. oral taxon 897	JAE006.A0101	0.00358121540286442	1
75512	Actinomyces sp. ZJ750	JAE006.A0101	0.00136408672811102	1
55016	Actinomyces sp. oral taxon 169	JAE006.A0101	9.9383668070977e-4	1
38324	Actinomyces sp. HMT 175	JAE006.A0101	6.923040015908323e-4	1
35455	Actinomyces sp. oral taxon 414	JAE006.A0101	6.40476943335846e-4	1
13331	Actinomyces sp. ZJ34	JAE006.A0101	2.4081788553406185e-4	1
8353	Actinomyces sp. Chiba101	JAE006.A0101	1.5089279107839012e-4	1
7337	Actinomyces sp. Z16	JAE006.A0101	1.32539256332114e-4	1
5986	Actinomyces sp. 432	JAE006.A0101	1.0813411318032364e-4	1
5824	Actinomyces sp. zg-993	JAE006.A0101	1.0520766374243314e-4	1
394895	Actinomyces naeslundii	JAE006.A0101	0.00713358179491211	1
377334	Actinomyces viscosus	JAE006.A0101	0.00681635106294424	1
115366	Actinomyces oris	JAE006.A0101	0.00208402941883749	1
19415	Actinomyces slackii	JAE006.A0101	3.507223199792822e-4	1
16984	Actinomyces radicidentis	JAE006.A0101	3.0680751390822195e-4	1
14638	Actinomyces howellii	JAE006.A0101	2.64428190566919e-4	1
7888	Actinomyces marmotae	JAE006.A0101	1.4249279732148225e-4	1
7452	Actinomyces weissii	JAE006.A0101	1.3461667414296218e-4	1
6738	Actinomyces procaprae	JAE006.A0101	1.2171861921300044e-4	1
6092	Actinomyces lilanjuaniae	JAE006.A0101	1.1004895046684457e-4	1
6034	Actinomyces gaoshouyii	JAE006.A0101	1.0900120931006896e-4	1
5868	Actinomyces wuliandei	JAE006.A0101	1.0600250186136635e-4	1
5796	Actinomyces qiguomingii	JAE006.A0101	1.0470185766674836e-4	1
4249	Actinomyces israelii	JAE006.A0101	7.675607198516457e-5	1
649	Actinomyces pacaensis	JAE006.A0101	1.1723862254264956e-5	1
265975	Schaalia odontolytica	JAE006.A0101	0.00480470610643778	1
4647	Schaalia cardiffensis	JAE006.A0101	8.394574406096957e-5	1
3138	Schaalia meyeri	JAE006.A0101	5.668640948210082e-5	1
2895	Pauljensenia hongkongensis	JAE006.A0101	5.22967353252651e-5	1
452704	Corynebacterium matruchotii	JAE006.A0101	0.00817787263167143	1
978	Corynebacterium sp. 2039	JAE006.A0101	1.766708364356106e-5	1
897	Corynebacterium sp. 1959	JAE006.A0101	1.620385892461582e-5	1
563	Corynebacterium sp. zg-320	JAE006.A0101	1.0170315021804575e-5	1
7278	Corynebacterium argentoratense	JAE006.A0101	1.3147345067263537e-4	1
2192	Corynebacterium aquilae	JAE006.A0101	3.959738992503665e-5	1
1206	Corynebacterium diphtheriae	JAE006.A0101	2.1785790259851368e-5	1
1135	Corynebacterium ulcerans	JAE006.A0101	2.05032105679364e-5	1
1128	Corynebacterium glucuronolyticum	JAE006.A0101	2.037675904901521e-5	1
1031	Corynebacterium vitaeruminis	JAE006.A0101	1.8624502286821527e-5	1
1022	Corynebacterium jeikeium	JAE006.A0101	1.8461921762494276e-5	1
1010	Corynebacterium efficiens	JAE006.A0101	1.8245147730057946e-5	1
938	Corynebacterium choanis	JAE006.A0101	1.6944503535439953e-5	1
920	Corynebacterium pseudotuberculosis	JAE006.A0101	1.6619342486785454e-5	1
919	Corynebacterium geronticis	JAE006.A0101	1.6601277984082428e-5	1
857	Corynebacterium mustelae	JAE006.A0101	1.5481278816494713e-5	1
855	Corynebacterium testudinoris	JAE006.A0101	1.5445149811088657e-05	1
850	Corynebacterium epidermidicanis	JAE006.A0101	1.5354827297573518e-5	1
771	Corynebacterium kroppenstedtii	JAE006.A0101	1.3927731584034332e-5	1
752	Corynebacterium striatum	JAE006.A0101	1.3584506032676806e-5	1
750	Corynebacterium humireducens	JAE006.A0101	1.3548377027270752e-5	1
718	Corynebacterium frankenforstense	JAE006.A0101	1.2970312940773866e-5	1
710	Corynebacterium xerosis	JAE006.A0101	1.2825796919149643e-5	1
708	Corynebacterium aurimucosum	JAE006.A0101	1.2789667913743589e-5	1
694	Corynebacterium pelargi	JAE006.A0101	1.2536764875901202e-5	1
667	Corynebacterium propinquum	JAE006.A0101	1.2049023302919455e-5	1
663	Corynebacterium renale	JAE006.A0101	1.1976765292107345e-5	1
647	Corynebacterium tuberculostearicum	JAE006.A0101	1.1687733248858902e-5	1
640	Corynebacterium phocae	JAE006.A0101	1.1561281729937709e-5	1
631	Corynebacterium pseudopelargi	JAE006.A0101	1.139870120561046e-5	1
620	Corynebacterium maris	JAE006.A0101	1.1199991675877157e-5	1
614	Corynebacterium halotolerans	JAE006.A0101	1.1091604659658988e-5	1
597	Corynebacterium deserti	JAE006.A0101	1.0784508113707516e-5	1
580	Corynebacterium doosanense	JAE006.A0101	1.0477411567756048e-5	1
557	Corynebacterium urealyticum	JAE006.A0101	1.0061928005586412e-5	1
268355	Pseudopropionibacterium propionicum	JAE006.A0101	0.00484769962287099	1
1608121	Capnocytophaga gingivalis	JAE006.A0101	0.02904990615129555	1
927243	Capnocytophaga sp. FDAARGOS_737	JAE006.A0101	0.01675018367986348	1
199526	Capnocytophaga sp. oral taxon 878	JAE006.A0101	0.00360433796632429	1
33185	Capnocytophaga sp. oral taxon 902	JAE006.A0101	5.994705221999732e-4	1
13465	Capnocytophaga sp. oral taxon 323	JAE006.A0101	2.4323852889626755e-4	1
10947	Capnocytophaga sp. oral taxon 864	JAE006.A0101	1.977521110900439e-4	1
572	Capnocytophaga sp. H4358	JAE006.A0101	1.0332895546131828e-5	1
833378	Capnocytophaga leadbetteri	JAE006.A0101	0.01505455913364379	1
480437	Capnocytophaga sputigena	JAE006.A0101	0.0086788554851345	1
91188	Capnocytophaga endodontalis	JAE006.A0101	0.00164726587248368	1
12186	Capnocytophaga ochracea	JAE006.A0101	2.201340299390952e-4	1
7858	Capnocytophaga haemolytica	JAE006.A0101	1.4195086224039145e-4	1
4537	Capnocytophaga canimorsus	JAE006.A0101	8.195864876363653e-5	1
3229	Capnocytophaga stomatis	JAE006.A0101	5.833027922807634e-5	1
2112	Capnocytophaga cynodegmi	JAE006.A0101	3.815222970879443e-5	1
1540	Flavobacterium columnare	JAE006.A0101	2.781933416266261e-5	1
589	Flavobacterium indicum	JAE006.A0101	1.0639992092083298e-5	1
773	Myroides phaeus	JAE006.A0101	1.3963860589440388e-5	1
575	Cellulophaga algicola	JAE006.A0101	1.038708905424091e-5	1
586	Aquimarina sp. AD10	JAE006.A0101	1.0585798583974212e-5	1
586	Aquimarina sp. TRL1	JAE006.A0101	1.0585798583974212e-5	1
1508	Amniculibacterium sp. G2-70	JAE006.A0101	2.7241270076165725e-5	1
685	Galbibacter sp. BG1	JAE006.A0101	1.2374184351573953e-5	1
1466	Chryseobacterium sp. POL2	JAE006.A0101	2.648256096263856e-5	1
1121	Chryseobacterium sp. 6424	JAE006.A0101	2.0250307530094015e-5	1
989	Chryseobacterium sp. T16E-39	JAE006.A0101	1.7865793173294364e-5	1
961	Chryseobacterium sp. IHB B 17019	JAE006.A0101	1.735998709760959e-5	1
