species	LIB030.A0117	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN013.I0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.F0101	SYN015.G0101	SYN015.H0101	SYN015.I0101	SYN016.I0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN017.F0101	SYN017.G0101	SYN018.C0101	SYN018.H0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
Paraburkholderia acidophila	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia acidiphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia terricola	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia aromaticivorans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	102	0	0
Paraburkholderia megapolitana	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lautropia mirabilis	10	47129	4690	94462	168	0	0	462	234	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	205	0	0	124	0	0	0	120	99	187
Ralstonia insidiosa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia solanacearum	1	0	0	0	107	0	0	90	139	0	0	0	0	0	0	92	0	0	194	0	0	0	57	124	0	0	0	0	0	93	0	0	160	0	0	218
Ralstonia pickettii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus pauculus	3	0	0	0	0	0	0	0	0	0	0	0	0	78	37	116	0	0	0	0	0	0	91	175	0	0	0	0	0	137	0	0	0	127	0	0
Cupriavidus oxalaticus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	102
Cupriavidus metallidurans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea pnomenusa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax sp. RA8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax sp. HW608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax boronicumulans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. KKS102	1	69	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	225	0	0	92	0	0	0	0	0	0
Acidovorax sp. RAC01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax antarcticus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0
Hydrogenophaga sp. NH-16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga sp. YM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kinneretia sp. DAIF2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	42	89	0	0	0	0	0	0	50	111	0	0	96	0	0	0	0	0	0	0	0	0
Rhodoferax sediminis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax sp. AJA081-3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	65	120	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas koreensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas serinivorans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramlibacter tataouinensis	2	0	0	0	108	0	0	124	118	0	0	0	0	89	38	0	0	0	225	0	0	0	54	0	0	0	0	0	0	0	0	0	197	0	0	185
Alicycliphilus denitrificans	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pulveribacter suum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melaminivora sp. SC2-9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Symbiobacter mobilis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simplicispira suum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter sp. HDW4A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hylemonella gracilis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia sp. 27C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schlegelella thermodepolymerans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas sp. JS666	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium olei	19	119	0	113	0	0	0	0	0	0	0	0	0	0	31	86	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0
Thiomonas arsenitoxydans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas sp. X19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseateles depolymerans	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobacter gummiphilus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobacter sp. AJA081-3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paucibacter sp. KCTC 42545	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptothrix cholodnii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerotilus natans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitsuaria sp. 7	1	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	45	124	0	0	0	0	0	0	0	0	0	0	0	0
Inhella inkyongensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella avium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella hinzii	1	0	0	0	0	0	0	0	0	0	0	0	0	61	0	99	0	0	0	0	0	0	80	173	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium agaricidamnosum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium sp. 1_2014MBL_MicDiv	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0
Neisseria sicca	19	53275	42914	123533	373	99	1099	420	258	200	622	92	1110	63	130	210	126	175	348	273	4272	1271	0	63	0	0	1546	132	89	150	333	102	531	206	689	256
Neisseria mucosa	7	50407	27983	100382	0	0	0	663	109	403	1133	100	1492	0	0	0	0	0	111	172	23796	2949	0	0	0	0	1714	0	0	129	0	0	0	159	0	0
Neisseria elongata	3	15662	9933	28162	0	0	0	171	0	0	130	0	323	0	0	0	0	0	95	0	2416	357	0	0	0	0	532	0	0	0	0	0	0	0	0	0
Neisseria bacilliformis	3	599	620	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0
Neisseria sp. KEM232	1	653	827	1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria chenwenguii	1	489	388	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria meningitidis	1	10511	6543	21761	0	0	0	162	0	91	305	0	357	0	0	0	0	0	0	0	6071	673	0	0	0	0	394	0	0	0	0	0	0	0	0	0
Neisseria subflava	1	58277	26355	106466	216	0	1442	1243	182	807	2510	241	3230	0	83	0	0	0	325	492	55297	5855	0	0	0	0	3515	0	0	204	393	0	333	200	711	152
Kingella oralis	2	680	861	2490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingella denitrificans	1	1858	3682	24190	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	192	190	0	0	0	0	97	0	0	0	0	0	0	0	0	0
Eikenella corrodens	1	1681	2234	5186	298	73	163	680	0	0	143	0	138	50	46	124	0	0	266	0	510	273	83	173	0	0	930	0	156	0	0	0	150	135	476	158
Aromatoleum bremense	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus sp. DN11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0
Bradyrhizobium sp. PSBB068	115	430	388	558	0	0	111	131	0	83	273	0	470	191	154	341	191	273	136	178	0	0	38	72	135	0	1471	325	0	0	0	92	0	111	334	0
Bradyrhizobium sp. BTAi1	10	69	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. SK17	7	150	219	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	312	0
Bradyrhizobium betae	2	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0
Sinorhizobium meliloti	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caenibius tardaugens	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocella silvestris	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas alpina	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium baderi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qipengyuania flava	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsuneonella amylolytica	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospirillum sp. XM-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter vibrioides	1	0	0	0	0	0	0	0	0	0	0	0	0	72	60	138	0	0	0	0	0	0	79	199	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas azotoformans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. SCB32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas stutzeri	1	0	0	0	124	0	0	150	150	0	0	0	0	0	0	0	0	0	160	0	0	0	38	0	0	0	0	0	0	201	0	90	158	202	105	182
Pseudomonas putida	1	0	0	83	0	0	5340	0	0	158	0	0	0	47	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0
Pseudomonas aeruginosa	1	0	0	0	93	0	184	165	160	0	0	0	0	207	74	179	0	0	171	94	0	0	161	307	0	0	0	0	0	90	0	86	150	0	0	157
Acinetobacter johnsonii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0
Moraxella osloensis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella michiganensis	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia coli	2	0	0	0	0	0	175	0	0	87	0	0	0	0	0	104	0	0	0	94	0	84	0	0	0	0	109	0	94	0	0	0	104	95	0	0
Raoultella terrigena	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus parainfluenzae	7	29080	35618	33925	896	25505	4511	2790	564	934	1028	111	2124	95	184	88	0	105	1726	1664	143497	10349	80	66	200	158	24216	104	551	2151	95	853	3595	1958	1405	4804
Aggregatibacter aphrophilus	2	7500	4488	6019	0	90	131	75	0	0	0	0	113	0	0	0	0	0	0	0	2686	272	0	0	0	0	11236	0	0	0	0	0	0	0	0	126
Xanthomonas campestris	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0
Stenotrophomonas acidaminiphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodanobacter sp. FDAARGOS 1247	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyella caseinilytica	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	100	0	0
Ectothiorhodospira sp. BSL-9	1	0	0	0	0	0	0	92	0	0	0	0	0	78	64	0	0	0	124	0	0	0	79	61	0	0	0	0	0	0	0	0	100	0	0	0
Shewanella sp. FJAT-51800	1	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. ASNIH4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 169	49	23344	39249	22674	9797	114	233	2203	7483	104	707	211	557	181	171	900	202	485	8254	277	265	276	0	142	893	992	4264	708	181	2364	2372	17648	3780	10487	7130	2630
Actinomyces sp. HMT 175	18	8083	15547	9738	6080	73	125	1943	4594	73	435	153	222	49	80	422	0	291	5495	171	114	204	0	61	901	638	2350	400	101	1483	1485	12126	2278	6708	5049	1898
Actinomyces sp. oral taxon 171	6	20419	40938	36199	16444	150	301	3130	12231	71	641	266	310	47	78	892	124	467	13809	208	133	223	0	157	1047	1704	4993	876	308	3493	3508	29137	5945	17700	11227	4157
Actinomyces sp. oral taxon 414	2	4613	6588	10354	688	217	81	414	774	151	0	0	144	0	37	124	0	0	719	389	0	112	0	0	185	89	349	0	89	281	387	1243	451	1538	749	278
Actinomyces oris	38	31894	59347	40947	25859	297	418	6099	19673	143	1641	496	715	114	201	1625	253	820	23163	411	519	649	0	280	2377	2742	9238	1536	465	6124	5617	48511	9418	28240	19129	6780
Actinomyces naeslundii	8	15567	37310	23732	6518	139	95	1424	5044	89	419	104	281	53	63	453	0	243	5676	296	236	144	0	66	540	705	2382	410	153	1481	1465	11952	2411	7158	4511	1794
Actinomyces viscosus	3	4937	10993	9642	6772	189	96	1376	5496	116	255	128	151	0	35	464	0	224	6227	269	0	109	0	65	507	764	2374	389	131	1498	1451	13085	2525	7816	4742	1692
Actinomyces lilanjuaniae	1	146	276	312	183	0	0	110	196	78	0	0	0	0	0	0	0	0	157	144	0	0	0	0	0	0	0	0	0	0	101	257	82	233	112	0
Actinomyces marmotae	1	173	352	394	119	111	0	117	202	82	0	0	0	0	0	0	0	0	151	236	0	0	0	0	0	0	97	0	0	0	110	241	67	180	133	0
Schaalia odontolytica	1	157189	351922	308792	9775	239504	164	232430	148150	98001	25716	12417	140758	13152	15851	24284	20058	24723	43953	390126	39546	45050	8417	9471	18494	3456	96829	668	33419	51510	90127	48087	35953	53786	116223	51885
Rothia aeria	41	31508	57536	88479	195	0	146	141	161	87	492	0	670	93	112	241	103	173	196	191	2708	347	0	0	0	0	1115	179	0	0	95	137	230	103	198	163
Rothia dentocariosa	13	65869	164109	157823	0	0	0	0	0	0	481	120	1053	87	72	145	0	0	0	75	2268	1172	40	99	0	0	853	0	0	0	0	0	0	0	0	0
Dermacoccus nishinomiyaensis	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. RG1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium matruchotii	18	2268	8357	4319	0	0	0	0	0	0	0	0	109	0	38	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0
Corynebacterium tuberculostearicum	1	0	94	115	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	78	117	0	0
Corynebacterium kutscheri	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0
Nocardia brasiliensis	1	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus sp. PBTS 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium acnes	14	405	267	297	0	124	0	237	149	0	0	0	180	0	38	401	0	128	0	344	0	0	0	0	0	0	251	0	0	0	0	90	0	0	0	0
Pseudopropionibacterium propionicum	2	16544	29619	41313	149	431	0	678	416	370	0	161	211	212	99	122	97	134	438	1011	112	110	132	113	104	0	475	0	138	178	349	221	265	232	242	158
Frankia inefficax	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sanguinis	15	102499	154327	167736	10883	6554	2305	1910	1552	473	3923	1438	11734	1308	1162	1337	203	285	1247	730	60854	91778	1225	1287	1041	603	107338	954	17854	1315	1736	938	8264	4676	792	6196
Streptococcus oralis	7	175110	388230	359759	11222	5806	3275	2161	2746	2764	278562	14279	162600	6471	13729	660	231	351	3258	1034	1366083	131104	514	13502	1021	849	61646	1305	9953	2639	1376	1580	9517	3297	1243	27051
Streptococcus cristatus	2	44785	122503	80671	5770	3102	2388	4096	4122	288	12825	7245	71670	2340	1660	1966	337	388	657	401	362969	965171	3941	5785	3900	1150	450845	446	10948	2607	4344	4040	7998	30079	803	10017
Streptococcus gordonii	1	23968	45025	40056	3076	4687	431	1938	653	378	4007	996	10391	657	592	538	289	345	1089	444	33514	42241	483	1428	982	617	33637	637	13718	1098	897	324	2693	2632	837	5727
Streptococcus mitis	1	84776	205768	220589	2212	1421	1985	557	367	369	9260	952	13476	1289	1300	310	151	209	580	280	185143	14876	671	1242	364	190	8902	284	4288	797	640	388	1748	1089	647	2079
Streptococcus parauberis	1	514	1073	814	237	185	88	129	126	318	408	193	401	70	29	252	551	573	85	281	632	495	96	142	445	389	300	603	828	119	211	0	133	167	249	133
Streptococcus intermedius	1	4247	8411	5606	54512	40892	2677	7393	2745	1448	859	247	1874	650	632	863	695	1214	5930	3566	4026	4955	1164	1918	2662	2695	17999	4475	313415	2832	8621	1613	37394	10970	7395	26609
