Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
SYN013.I	SYN013.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN013.I	SYN013.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN014.A	SYN014.A0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN014.A	SYN014.A0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN014.A	SYN014.A0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN014.A	SYN014.A0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.A0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN014.C	SYN014.C0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN014.C	SYN014.C0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN014.C	SYN014.C0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN014.C	SYN014.C0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN014.C0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.B	SYN015.B0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.B	SYN015.B0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.B	SYN015.B0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.B	SYN015.B0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.B0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.D	SYN015.D0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.D	SYN015.D0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.D	SYN015.D0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.D	SYN015.D0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.D0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.E	SYN015.E0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.E	SYN015.E0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.E	SYN015.E0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.E	SYN015.E0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.E0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.F	SYN015.F0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.F	SYN015.F0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.F	SYN015.F0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.F	SYN015.F0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.F0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.G	SYN015.G0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.G	SYN015.G0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.G	SYN015.G0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.G	SYN015.G0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.G0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.H	SYN015.H0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.H	SYN015.H0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.H	SYN015.H0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.H	SYN015.H0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.H0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN015.I	SYN015.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN015.I	SYN015.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN015.I	SYN015.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN015.I	SYN015.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN015.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN016.I	SYN016.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN016.I	SYN016.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN016.I	SYN016.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN016.I	SYN016.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN016.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN017.A	SYN017.A0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN017.A	SYN017.A0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN017.A	SYN017.A0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN017.A	SYN017.A0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.A0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN017.B	SYN017.B0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN017.B	SYN017.B0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN017.B	SYN017.B0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN017.B	SYN017.B0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.B0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN017.D	SYN017.D0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN017.D	SYN017.D0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN017.D	SYN017.D0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN017.D	SYN017.D0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.D0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN017.E	SYN017.E0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN017.E	SYN017.E0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN017.E	SYN017.E0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN017.E	SYN017.E0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.E0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN017.F	SYN017.F0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.F0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.F0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN017.F	SYN017.F0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN017.F0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN017.F0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
