species	PC1	PC2	PC3
Neisseria sp. ZJ785	-0.05614102138335348	-0.03972552469645497	0.003514903514507855
Porphyromonas gingivalis	-0.055319728891105126	0.05190593862087131	0.052393697388492935
Neisseria animaloris	-0.055062848497304126	-0.0351360098286628	0.002310669501008864
Actinomyces weissii	-0.05481113247923905	0.03603442293817679	-0.013032801796520341
Cryptobacterium curtum	0.05426102887715298	0.07252435536328751	0.04024314914029362
Actinomyces lilanjuaniae	-0.05416292996501616	0.029455963991062387	-0.0178693943105781
Actinomyces gaoshouyii	-0.05410837654767461	0.032528390356899646	-0.024832791763375044
Lactobacillus johnsonii	0.05386662571462161	-0.010096334533545756	-0.0036447155216903396
Neisseria sp. 10022	-0.05352162728230766	-0.039677806398620105	0.004980966900872009
Actinomyces sp. Chiba101	-0.053512700852944656	0.045249277305028535	-0.009601851896300223
Neisseria zoodegmatis	-0.0531041783747844	-0.034116081121539556	0.0014641804494941158
Bergeyella cardium	-0.05293039960460766	-0.009172908773291086	0.03863972648745504
Pauljensenia hongkongensis	-0.052838419500054114	0.04104791701679056	0.02926745195917793
Veillonella dispar	0.052788561391432474	-0.0015120369407335495	0.05530802640154638
Neisseria weaveri	-0.05254868089375985	-0.03514710057938089	-4.7556257667744696e-4
Haemophilus parainfluenzae	-0.052483904161641164	-0.03390275415402001	0.051934994196969037
Actinomyces sp. 432	-0.052449374128008604	0.04674882993828083	-0.015046442426476238
Enterobacter hormaechei	0.05112622949653718	-0.042891348019694325	-0.05930881794858204
Neisseria zalophi	-0.0509380443984924	-0.03366137314138897	0.0031451778323957386
Neisseria wadsworthii	-0.05078748738684391	-0.03179744905288682	-4.366457895773898e-4
Actinomyces israelii	-0.05052188819023357	0.030753954729752224	-0.01868971000676659
Neisseria canis	-0.050391763403181224	-0.0323253023423445	3.635159031280539e-4
Olsenella sp. oral taxon 807	-0.05035294240827074	0.08564846133189168	0.026714676548356815
Campylobacter curvus	-0.04994649050620841	0.03358140621113634	0.019792822951842207
Prevotella intermedia	-0.04967585376272791	0.06448830012194533	0.08928317748429604
Treponema sp. OMZ 838	-0.049354189768888286	0.05506552625185495	0.056530525693553296
Actinomyces sp. zg-993	-0.04926041212837862	0.04441668258701125	-0.008847558814833179
Haemophilus pittmaniae	-0.04895364922011714	-0.032944944243833235	0.05915515301986217
Lactobacillus jensenii	0.0486115259879349	-0.015227890095743504	-0.014785229543579264
Dolosigranulum pigrum	0.0479127979095785	-0.023912230103894233	0.01857968647032875
Pasteurella multocida	-0.0472796923036246	-0.02963639408988704	0.046277187253190834
Fusobacterium hwasookii	-0.0464726318642972	-0.0544466991500462	0.004582815968972089
Porphyromonas asaccharolytica	-0.04637479850226565	-0.0023788269551543607	0.05587989964076509
Treponema putidum	-0.046257931367739404	0.019793345131421787	0.017616486364558575
Propionibacterium acidifaciens	-0.046038019339586074	0.03183982828491135	-0.01744254771054551
Cloacibacterium normanense	-0.04469660358279586	-0.045284269030922496	0.03375367943512883
Schaalia cardiffensis	-0.0444980864901824	0.054777566619432595	0.006129035137861689
Kingella kingae	-0.04442313275973485	-0.030919845741316267	0.010589270399612187
Lactobacillus gasseri	0.0443998034172746	-0.02106700432593858	-0.017431116078128875
Streptococcus parasanguinis	0.04360315053556574	-0.05241820007188631	-0.002326675688814894
Neisseria flavescens	-0.04319354939707435	-0.0714259393809455	0.005793287160367745
Lactobacillus acidophilus	0.04310937116475019	-0.004325148392691544	-0.0063292201113335006
Selenomonas sp. oral taxon 126	-0.04258245611346932	0.08465293480349845	0.061415058440393626
Propionibacterium australiense	-0.04201655320450496	0.029403055713359817	-0.031628164979960884
Selenomonas sp. oral taxon 920	-0.04190058081048293	0.07839625140858388	0.06603019851822907
Finegoldia magna	0.041040049590519025	0.05585896756378286	0.01718555038390414
Streptococcus infantis	0.040586521944144346	-0.048921307931647735	-0.040054433166893284
Anaerococcus prevotii	0.04047488099121192	0.050530023779141876	0.03351142747895887
Chryseobacterium taklimakanense	-0.04025288509003833	-0.034022454503302754	0.025856046749808695
Georgenia faecalis	-0.03940022444923543	0.0130068520815603	-0.04163208750577182
Veillonella parvula	0.03927945855811427	0.020850186565910665	0.026856617931320582
Schaalia meyeri	-0.039198438217443204	0.0490967946009192	0.04491992169994923
Enterobacter cloacae	0.039185777580319305	-0.01937451314579218	-0.05104363559237172
Capnocytophaga stomatis	-0.0385886187245789	-0.024059913890335204	0.03439504640752372
Georgenia sp. Z294	-0.03850419366391549	0.017589241037489156	-0.04529471341262186
Stenotrophomonas maltophilia	-0.03836486337166623	-0.0014771954600164955	-0.03686562105767101
Alysiella filiformis	-0.03812211325459112	-0.02544618942956801	-1.4144548959072582e-4
Lactobacillus crispatus	0.038004227874073544	-0.010972338705877908	-0.00756572474872509
Flaviflexus salsibiostraticola	-0.03779636069935871	0.015208674875239261	-0.029108378371779497
Corynebacterium striatum	-0.037792122910297134	-0.004540614445800093	-0.029751396669061396
Conchiformibius steedae	-0.03765462748521682	-0.025955480885366575	-7.72002356228778e-4
Micrococcus luteus	-0.03763046206802622	0.006718949435723295	-0.03749528385995711
Streptococcus anginosus	0.037361559993560375	0.00885392187242409	-0.013960445283112986
Helicobacter pylori	0.037292805829185136	-0.003974020217086021	0.0017325876865630042
Rothia mucilaginosa	-0.036921340688346314	0.0030966332689455617	0.05424024973925824
Corynebacterium vitaeruminis	-0.03661581948951009	-0.0013802775379049062	-0.03620814650594649
Haemophilus parahaemolyticus	-0.036408418435553744	-0.04643689272476055	0.06013283725241815
Streptococcus troglodytae	0.03632526834868265	-0.05164642989895483	0.0032466241624740026
Brachybacterium saurashtrense	-0.03626986628151675	0.007263817482536383	-0.03870607480822809
Capnocytophaga cynodegmi	-0.03623799124441666	-0.02196861863473559	0.023957040609694634
Cutibacterium acnes	-0.036223517328700744	-0.028624295496840823	0.046400991412158116
Actinobaculum sp. 313	-0.035922646392208823	0.013749051586050427	-0.02993607852294211
Variovorax paradoxus	-0.03577542652834382	0.010957127423187458	-0.042028438094633115
Georgenia sp. Z443	-0.03556031215087145	0.028872174633489435	-0.03466350024743092
Propioniciclava sp. HDW11	-0.035556681303578475	0.011075175358198571	-0.0397994195878561
Corynebacterium argentoratense	-0.03514987413807234	-0.027107665780893644	5.08627460384628e-4
Acidipropionibacterium acidipropionici	-0.03496795927505659	0.03017499194035304	-0.036771676166743185
Achromobacter xylosoxidans	-0.03458523717257207	0.003581439615077195	-0.04599474229656786
Chryseobacterium indologenes	-0.034561498059939584	-0.03921015572729929	0.034053134075457195
Porphyromonas crevioricanis	-0.03452904116347907	0.03703745182464743	0.052501957020269656
Eggerthella sp. HF-1101	0.034519996318535	0.07851934494094527	0.013917137705233668
Rodentibacter heylii	-0.03443295460282898	-0.04630609200151338	0.033903904281526
Gardnerella vaginalis	0.03427440746896374	0.046609071797102546	0.041455929532621276
Cupriavidus taiwanensis	-0.03371493008833141	0.006827549287264457	-0.044284962585428425
Mannheimia granulomatis	-0.03350774805656016	-0.045567120925690485	0.03602809627350533
Tessaracoccus flavescens	-0.03344802010419462	0.01336236385534549	-0.04207834956831733
Anaerostipes rhamnosivorans	0.033198878120513746	0.049576043437925744	0.03348933805634183
Lactobacillus iners	0.033104528227018586	0.02735962717260092	0.019951369862355378
Parascardovia denticolens	0.033093878150708717	0.048136246745823764	-0.006450649397722558
Corynebacterium diphtheriae	-0.032978745925871626	-0.020491752668484943	-0.01013284729697524
Desulfotomaculum ruminis	0.03295995236151727	0.03936535386474953	0.026502891872883044
Fusobacterium nucleatum	-0.0328985755209547	-0.008609589876019884	0.03234895009521072
Chryseobacterium sp. POL2	-0.03267782604006881	-0.03700340993057817	0.03462389649646576
Streptococcus salivarius	0.03248067599711395	-0.007093169924142839	0.01718327820090703
Bacteroides zoogleoformans	-0.03244132573751312	0.0667455480219148	0.043269376786217534
Tessaracoccus sp. MC1865	-0.03237755494439746	0.013504369119251916	-0.04156623477975454
Eggerthella lenta	0.03187646185934805	0.08123438781413597	0.003470088407935669
Miniimonas sp. S16	-0.03150966136855147	0.018880942099994722	-0.044675434478082934
Clostridium chauvoei	0.031386046829987295	0.03393308199621438	0.02911130130292243
Brachybacterium sp. P6-10-X1	-0.031347790143564876	0.016124446719554274	-0.0424775450648901
Propionibacterium freudenreichii	-0.03130529350852052	0.03723633547812849	-0.025217928150359885
Prevotella sp. oral taxon 299	-0.03128086158255242	0.0370828624992451	0.08346544687545261
Ottowia sp. 27C	-0.031149613621663082	0.006664732874214001	-0.046286498301211565
Streptococcus sanguinis	-0.03113771950265977	-0.03511300102603258	-0.010538607377125284
Streptococcus equinus	0.031071992027096155	-0.02857023371989374	0.019177616779219024
Cutibacterium avidum	-0.03099468339336595	0.04211219352595071	-0.005481603768068368
Barnesiella viscericola	-0.030960486009757024	0.014696621901934964	0.03344999923840314
Rothia terrae	-0.030886464850828906	-0.02680410142886149	7.573237498942899e-4
Fusobacterium gonidiaformans	0.03083316884412461	-0.008604391204225894	0.0331436396202827
Porphyromonas cangingivalis	-0.03080313501550619	0.01751981351146296	0.04853683326695162
Pseudobutyrivibrio xylanivorans	0.030789669972905224	0.06057486722596172	0.050777435321405905
Corynebacterium halotolerans	-0.0307090018765756	0.0016956693254498913	-0.043968600664799316
Tessaracoccus flavus	-0.030650619746480416	0.013132346474423936	-0.04123347175956894
Pseudomonas fluorescens	-0.030626732145520596	0.007747975322510529	-0.02935462510878723
Sporosarcina sp. Te-1	0.030589172791385223	0.03422934811723023	0.02428443422840274
Sanguibacter keddieii	-0.030551466767219423	0.01199673856870816	-0.03629287985510499
Chryseobacterium shandongense	-0.030432297100790123	-0.031350229939625406	0.03635587545722818
Adlercreutzia sp. 8CFCBH1	0.0304283524032017	0.059512051082255456	0.012514415956237044
Butyrivibrio hungatei	0.030185210806672746	0.04612509556003327	0.050862667799038454
Comamonas testosteroni	-0.030130766486362905	0.0030226767714646033	-0.03811597980304312
Berryella intestinalis	0.0300303161815556	0.09297998153143516	0.0012664470163113828
Bacteroides heparinolyticus	-0.02997527727884205	0.05756198778738281	0.04976861979511785
Parabacteroides goldsteinii	-0.029949540380747694	0.0098888710664832985	0.03127036216018242
Cellulomonas sp. Y8	-0.029851386917461892	0.014421791431277033	-0.04374549080486385
Campylobacter sp. CCUG 57310	-0.029849545155312684	0.012269886578781518	0.007071847276318422
Clostridium sp. AWRP	0.029767410088012196	0.030692347605228786	0.021938965953549407
Corynebacterium sphenisci	-0.029654592279517014	0.005486387071250552	-0.0420900965813076
Cellulomonas taurus	-0.029514200361311988	0.013897807200001881	-0.04255885811816365
Corynebacterium xerosis	-0.029505700816337417	0.004268316604848149	-0.0407694186962509
Ruminiclostridium cellulolyticum	0.029489116823209222	0.031175115912044263	0.022940758960011895
Ottowia oryzae	-0.02882346465902237	0.008639033657186343	-0.041721339568948884
Thermoanaerobacterium sp. RBIITD	0.02873521083170168	0.026502781940674822	0.02504948490165836
Arthrobacter crystallopoietes	-0.02871398154967211	0.010728388390877695	-0.037543751728431364
Corynebacterium humireducens	-0.028643110504739538	1.7696204944349657e-4	-0.04410130985264059
Prevotella oris	-0.028633562459174748	0.08669395457765453	0.10652296528823026
Flintibacter sp. KGMB00164	0.0286305578364101	0.06601167903985065	0.005852186789012424
Arsenicicoccus sp. oral taxon 190	-0.028582866025118454	0.012835042727930802	-0.045796278751162225
Clostridium saccharoperbutylacetonicum	0.028527320843413854	0.02889946486133732	0.03212230523181081
[Eubacterium] cellulosolvens	0.028435621738247423	0.07691724768513547	0.03284122094489274
Butyrivibrio proteoclasticus	0.028392019786915728	0.06108607617506323	0.039640359011364985
Corynebacterium aurimucosum	-0.028286747415620393	-0.009926698795284027	-0.029945077030428077
Treponema pedis	-0.028283204759301055	0.02772633231277048	0.039715582018400336
Massilistercora timonensis	0.028276183473544287	0.07158157023952626	0.018704262619302598
Caloramator sp. E03	0.02827247293819901	0.043371513747303525	0.025463006775773716
Pseudomonas aeruginosa	-0.02823875422080623	0.03172175983644919	-0.023078839488730553
Clostridium aceticum	0.028230635072243295	0.030722636577490116	0.02548165810173005
Prevotella enoeca	-0.02819010500496809	0.0769710924857192	0.09345267818628082
Leifsonia xyli	-0.028093917103169788	0.01212172959459979	-0.04335185355807234
Clostridium sp. JN-9	0.028088059685861408	0.039026525039920844	0.03692818064145682
Isoptericola variabilis	-0.02804120249767282	0.013373926698349987	-0.043801601456483284
Streptomyces venezuelae	-0.02773730126069437	0.04502562873501961	-0.031800782474063476
Xylanimonas allomyrinae	-0.027699131967848525	0.016617090012985135	-0.033215758809998386
Prevotella dentalis	-0.02751954121965886	0.0771222143054389	0.06116836057311438
Sporomusa termitida	0.027290923956165145	0.03787988496711136	0.019923110997854862
Clostridium sp. BNL1100	0.027107726957696757	0.03170214934998898	0.029751776504388084
Acidovorax sp. HDW3	-0.027107278414478964	0.006005024009089351	-0.04203869847879737
Chryseobacterium gallinarum	-0.02705187151878779	-0.03162151863183204	0.042556919442889155
Pseudomonas stutzeri	-0.026965636454897565	0.0423445487060414	-0.015919052513118318
Mycoplasma salivarium	-0.026913561568916042	-0.00492750456099547	0.03714600353409798
Enterocloster clostridioformis	0.02690231883403746	0.04034436557319255	0.030052094151342943
Corynebacterium kroppenstedtii	-0.026895676309986884	-0.02476129677450419	-0.004616062930883811
Prevotella denticola	-0.02688283328789433	0.08060259214919219	0.08895672891537827
Anaerostipes caccae	0.026879344567926674	0.05897832290726184	0.02339298832667786
Prevotella melaninogenica	-0.026756395406733243	0.06301810800551674	0.11456911007813562
Haloactinobacterium sp. HY164	-0.026693900586251627	0.03361145972479824	-0.03172436004739398
Hungatella hathewayi	0.02667627588419581	0.07538852403576203	0.03401912101135542
Acidovorax carolinensis	-0.02667209038608286	0.0018716874665636093	-0.037263814788965226
Paraoerskovia marina	-0.026438214102747985	0.012430604198369746	-0.03699228168133039
Blattabacterium cuenoti	-0.02639237661588508	0.025933575013852805	0.04340179646270495
Bifidobacterium breve	0.026354832670257074	0.045290751259775754	0.01341860879463991
Corynebacterium jeikeium	-0.026315275980110617	0.0021383682256350205	-0.011351892312023623
Streptococcus constellatus	0.026295557736673046	0.016355720523988253	-5.23036805835281e-4
Paenibacillus donghaensis	0.026164194303861188	0.024462155697333454	0.02059142306343478
Streptococcus vestibularis	0.026104853533827868	-0.046355792881377415	0.026316157205717935
Beutenbergia cavernae	-0.026093520247987157	0.025744939151658437	-0.03648940242638898
Phocaeicola vulgatus	-0.02609192934047619	0.02677787968566167	0.051158768044446336
Corynebacterium atypicum	-0.026060475477556678	0.0026256151940343	-0.040447395020756546
Parolsenella catena	0.026030984180192528	0.08378180723453837	0.007915038529155975
Isoptericola dokdonensis	-0.025998054081451217	0.015773488674851545	-0.043227045477920265
Glaesserella parasuis	-0.02596080570698224	-0.03669212166346647	0.049137579331285944
Paenibacillus bovis	0.025940295780207713	0.028496298735804126	0.02366813689492089
Selenomonas sputigena	-0.0258687237010843	0.11220152637364952	0.06716227992422057
Bradyrhizobium erythrophlei	0.025825992668991358	0.027948356579579198	0.023877830423641853
Brevibacterium casei	-0.025806867105947952	0.03924127955338915	-0.02121747875252575
Duncaniella dubosii	-0.025786119553330596	0.013907570754675351	0.024493086868810736
Ethanoligenens harbinense	0.025777038304163054	0.05948188048515377	0.0017018948920386268
Ralstonia solanacearum	-0.02575530493834322	0.029936376480885093	-0.023959098006044198
Brevibacterium luteolum	-0.0256577018241042	0.00910218060367497	-0.03361279366418018
Bacteroides fragilis	-0.02560179002276946	0.05003184708062465	0.056815271128239093
Cruoricaptor ignavus	-0.025547466415313278	-0.02820311109105923	0.04064577903509231
Streptomonospora sp. M2	-0.025543735793337984	0.012960926189303829	-0.0420670045588469
Flaviflexus sp. dk850	-0.025418786552309475	0.017468730366433594	-0.03597425841044233
Alicycliphilus denitrificans	-0.02528976855266698	0.005469729589338261	-0.04368362205749114
Clavibacter michiganensis	-0.0252777073263226	0.04162632805415869	-0.027358637628061722
Tessaracoccus aquimaris	-0.025262787595832677	0.019714138284518994	-0.027934457251827024
Mannheimia varigena	-0.025108050501964897	-0.04731026339812342	0.035707019260257704
Lacrimispora sphenoides	0.024831708783643904	0.06933130463553716	0.028966296050759156
Epilithonimonas vandammei	-0.024687277660065263	-0.01757241878086432	0.045999633859056296
Caloranaerobacter azorensis	0.02466927742067901	0.019629273523835256	0.02657384523791069
Brachybacterium ginsengisoli	-0.02466724085102838	0.012901991239563263	-0.04275843014068739
Corynebacterium efficiens	-0.024570093761052143	-0.01995142837947003	-0.021106924006445687
Comamonas serinivorans	-0.024564047974653315	0.005704739748861059	-0.037554677363192325
Geosporobacter ferrireducens	0.0245581641387861	0.036342660671344756	0.022429548089208457
Corynebacterium geronticis	-0.024536149300426437	-0.012538473518702813	-0.028754395089756964
Chryseobacterium sp. NBC 122	-0.024534238318898578	-0.03040628171694843	0.03212741617908214
Cellulomonas flavigena	-0.024463752553137447	0.01930807771497651	-0.04005985837735022
Clostridium sp. DL-VIII	0.02438367982554622	0.02073218692228181	0.026249523401401884
Paenibacillus beijingensis	0.024350637805256793	0.027297329563844543	0.021495339165895334
Desulfosporosinus youngiae	0.024334570083920905	0.024222282258411425	0.02317657615108252
Bifidobacterium catenulatum	0.02423594392861212	0.025319900569809265	0.020361128643837514
Paenibacillus sp. B01	0.0240014197687713	0.026230796582723846	0.021002955219234537
Romboutsia sp. CE17	0.02398305376271518	0.027575935548508568	0.04241824090780154
Streptococcus sobrinus	0.02377830147930238	-0.03498663444341467	0.010183253538253608
Alistipes onderdonkii	-0.023739765372149835	0.012354565189766043	0.020512795751558507
Mobilicoccus sp. NJES-13	-0.023716169839249977	0.012805289222839892	-0.0392987222837144
Janibacter melonis	-0.023621135184221174	0.013031032523428646	-0.042565019306690086
Burkholderia gladioli	-0.02352493770533628	0.008886189554824984	-0.03772988654662659
Gemella morbillorum	-0.023502667350894315	0.00376235121711677	0.02728376134500525
Tsukamurella paurometabola	-0.023448043030161014	0.011444026865248386	-0.040476772673079156
Acetivibrio clariflavus	0.0234163746981484	0.021665993632252457	0.025678851188327457
Corynebacterium nuruki	-0.023404498786127898	0.011673565874028765	-0.04289575523069598
Actinobacillus succinogenes	-0.02338016011327559	-0.030316117336098004	0.022130116230255212
Syntrophobotulus glycolicus	0.023357592794617854	0.020632828309714402	0.01843359106536949
Phocaeicola coprophilus	-0.023316302856358627	0.037855102019636676	0.040064123157963046
Sphingobacterium sp. DR205	0.023235981201706356	0.021491705979057606	0.01815319136532088
Coriobacterium glomerans	0.02320744166933054	0.06982203003545134	-5.221291116450069e-4
Pseudarthrobacter sp. YJ56	0.023192368870497002	0.026218540935879414	0.01995344253835212
Ornithinimicrobium flavum	-0.0231617041725588	0.011317704370018814	-0.04006878319281713
Bacillus freudenreichii	0.023101538920723495	0.014939363727605128	0.018689283668973822
Eubacterium limosum	0.023084338795520222	0.03661730906246867	0.02355254355205694
Sedimentibacter sp. zth1	0.022882536128498207	0.014357036622521097	0.02157895399956419
Nocardiopsis dassonvillei	-0.022852683918274764	0.013975081894730844	-0.04669047655192857
Bacillus sonorensis	0.022851139745397785	0.019221014678838057	0.017806449135968565
Alcaligenes faecalis	-0.02282885278068575	0.017655572848411894	-0.030956900275003543
Kocuria flava	-0.022769064349446273	0.014626895449293862	-0.03685856438802681
Cellulomonas sp. PSBB021	-0.022741737076533784	0.012653746300194847	-0.03514268195390753
Phycicoccus sp. HDW14	-0.02263138716342674	0.014865057330316586	-0.04309626183443925
Paenibacillus chitinolyticus	0.02252676593511001	0.020866134967664252	0.01970581142452665
Bacillus sp. HD4P25	0.02252115836526913	0.02017851234875034	0.018809848597164922
Nonomuraea sp. ATCC 55076	-0.02250252450021998	0.012533765905263282	-0.04724391785854114
Fusobacterium necrophorum	-0.022497006126013946	0.0697618780434275	0.05235169988864015
Bifidobacterium dentium	0.02249299771760488	0.029262222656207808	-0.02509039660931961
Nocardioides sp. HDW12B	-0.022470724128769687	0.013197030549764963	-0.03870967021516114
Muribaculum intestinale	-0.022456184957696353	0.025462319464496556	0.028142343016917027
Gottschalkia acidurici	0.02241952831074521	0.026704924000011013	0.022719430082777138
Dermacoccus sp. PAMC28757	-0.022344674658349183	0.01251554194709719	-0.03751104958574202
Corynebacterium urealyticum	-0.02234386591850016	-0.009858781335538138	-0.029438659814587754
Bacteroides thetaiotaomicron	-0.022324488348610595	0.031855824807545625	0.03717894589799731
Paludibacter propionicigenes	-0.02227443539571376	0.023117005407233975	0.03485946764606851
Acholeplasma brassicae	0.02221524079246239	0.014809728558542961	0.014847034737214054
Luteimicrobium xylanilyticum	-0.02207791544041966	0.036732712052180566	-0.03219719491110124
Cellulomonas fimi	-0.021855510470255336	0.01774036455787363	-0.037989471157192804
Schnuerera ultunensis	0.021757365746626733	0.015223271999704737	0.022640608790595734
