species,LIB030.A0117,SYN001.A0101,SYN002.A0101,SYN003.A0101,SYN005.I0101,SYN006.I0101,SYN008.I0101,SYN009.I0101,SYN012.I0101,SYN013.I0101,SYN014.A0101,SYN014.C0101,SYN015.B0101,SYN015.D0101,SYN015.E0101,SYN015.F0101,SYN015.G0101,SYN015.H0101,SYN015.I0101,SYN016.I0101,SYN017.A0101,SYN017.B0101,SYN017.D0101,SYN017.E0101,SYN017.F0101,SYN017.G0101,SYN018.C0101,SYN018.H0101,SYN018.I0101,SYN019.I0101,SYN021.I0101,SYN022.I0101,SYN023.I0101,SYN025.I0101,SYN026.I0101,SYN028.I0101
Burkholderia anthina,1,NA,12,12,9,6,10,26,25,4,6,3,15,4,NA,5,3,1,13,21,7,4,4,6,4,NA,10,3,NA,27,17,21,11,31,21,12
Burkholderia sp. DHOD12,1,11,12,8,11,5,2,7,29,1,12,6,6,2,1,3,1,5,3,3,5,14,1,1,2,NA,24,1,1,9,2,5,5,14,3,11
Burkholderia sp. LA-2-3-30-S1-D2,1,4,1,3,42,16,13,26,25,2,3,4,3,2,6,10,4,NA,22,7,9,5,6,3,1,NA,10,NA,3,37,24,20,28,43,28,16
Burkholderia sp. Bp7605,1,4,3,6,1,NA,1,1,2,2,2,NA,NA,NA,2,1,1,NA,2,3,NA,NA,NA,NA,1,NA,10,2,1,2,NA,2,NA,NA,2,1
Burkholderia sp. IDO3,1,4,1,2,NA,NA,1,1,NA,NA,2,NA,4,1,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,7,4,NA,NA,1,NA,NA,2,NA,1
Burkholderia pseudomallei,1,30,28,36,18,15,5,17,14,7,3,1,8,1,4,3,4,3,27,5,4,6,1,3,4,1,17,4,4,10,2,11,40,7,7,45
Burkholderia oklahomensis,1,5,NA,5,NA,NA,NA,3,2,NA,1,1,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,1,NA,NA,4,1,NA,1,1,NA,2,NA,1,NA
Burkholderia sp. BDU6,1,NA,2,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,3,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,NA
Burkholderia glumae,1,5,8,9,7,8,16,8,14,2,NA,2,6,65,27,88,2,4,4,11,2,NA,79,163,65,6,12,7,3,4,4,11,7,8,7,6
Burkholderia gladioli,1,15,9,39,40,19,14,39,60,6,10,4,11,5,3,17,4,8,62,8,2,4,5,4,3,2,26,3,6,23,21,36,57,42,32,94
Paraburkholderia fungorum,3,22,15,23,1,4,5,8,14,6,14,6,17,11,9,15,5,10,5,10,2,2,NA,5,9,9,70,20,3,3,5,3,6,13,6,10
Paraburkholderia sp. 7MH5,1,8,5,8,30,20,24,30,35,5,8,5,11,7,10,13,2,4,39,9,17,6,6,3,1,NA,26,2,5,60,30,38,42,69,35,34
Paraburkholderia sp. PGU19,1,NA,1,2,1,NA,2,1,7,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,2,1,1,2
Paraburkholderia acidisoli,2,8,19,15,49,61,29,123,90,9,7,8,10,18,15,53,5,6,108,20,5,6,33,50,46,9,18,NA,8,159,27,345,155,202,42,80
Paraburkholderia phytofirmans,2,20,6,17,10,6,6,8,15,3,5,3,13,4,5,6,3,4,16,5,4,2,2,1,1,1,28,5,6,14,10,7,12,22,10,11
Paraburkholderia acidophila,2,6,2,4,NA,NA,NA,NA,1,3,1,NA,3,1,NA,4,3,NA,NA,NA,5,NA,NA,NA,NA,NA,12,2,NA,NA,1,NA,NA,6,2,2
Paraburkholderia acidiphila,1,21,21,21,32,9,1,38,36,4,9,4,NA,NA,NA,1,NA,NA,44,2,2,4,NA,NA,NA,NA,9,2,6,12,1,25,37,40,18,64
Paraburkholderia terricola,1,1,2,5,1,NA,NA,NA,5,NA,1,1,2,2,NA,NA,NA,1,1,1,NA,NA,2,1,NA,NA,9,2,NA,NA,1,NA,3,1,1,2
Paraburkholderia aromaticivorans,1,16,12,26,58,28,28,49,59,14,15,3,26,14,12,39,4,8,43,21,27,19,9,7,5,2,57,26,5,122,48,35,48,102,43,55
Paraburkholderia megapolitana,1,6,7,16,1,1,1,6,1,3,NA,NA,1,1,1,8,2,1,1,11,1,1,2,5,NA,NA,11,2,NA,2,1,2,NA,5,6,5
Lautropia mirabilis,10,47129,4690,94462,168,66,48,462,234,52,20,13,82,17,23,62,17,22,146,70,76,20,10,15,18,3,205,26,6,124,37,57,64,120,99,187
Ralstonia insidiosa,3,15,11,13,1,1,4,31,29,2,8,3,12,2,3,15,6,10,13,3,NA,4,2,1,4,NA,28,6,3,20,8,9,10,13,19,9
Ralstonia solanacearum,1,27,43,66,107,50,8,90,139,13,6,7,20,33,26,92,7,9,194,22,33,11,57,124,47,3,29,2,3,93,16,75,160,90,44,218
Ralstonia pickettii,1,23,17,26,5,15,5,7,10,7,7,2,8,9,3,9,3,10,14,11,2,4,4,4,3,NA,39,6,11,8,13,5,12,18,10,7
Cupriavidus pauculus,3,60,38,43,64,39,20,53,45,4,7,9,21,78,37,116,7,13,38,11,48,8,91,175,62,5,25,2,11,137,40,36,39,127,61,61
Cupriavidus oxalaticus,1,23,15,35,43,21,5,25,49,4,3,2,8,5,5,8,4,2,89,3,6,NA,140,7,7,3,17,1,3,13,4,36,63,12,7,102
Cupriavidus metallidurans,1,28,29,24,10,14,1,23,27,5,3,NA,3,1,1,6,2,2,36,6,2,4,2,1,2,1,15,1,NA,10,3,17,41,10,7,36
Pandoraea pnomenusa,1,7,8,9,45,23,14,44,52,2,6,2,4,4,7,20,1,2,77,7,7,5,3,3,1,1,8,3,4,37,16,34,52,27,24,88
Variovorax sp. RA8,1,8,6,11,3,1,NA,2,2,NA,NA,NA,2,2,2,1,NA,2,1,NA,1,1,NA,NA,3,NA,10,NA,NA,7,2,3,8,13,7,8
Variovorax sp. HW608,1,8,12,19,16,6,32,6,11,2,2,1,11,15,14,37,6,2,28,3,NA,1,18,44,9,NA,9,6,76,7,4,9,18,13,12,39
Variovorax boronicumulans,1,5,3,4,NA,NA,NA,2,1,1,3,1,1,1,1,1,1,4,NA,1,NA,3,NA,1,1,NA,15,1,NA,1,2,1,2,1,4,1
Acidovorax sp. KKS102,1,69,41,35,33,13,7,30,18,23,35,4,70,29,37,48,79,58,17,25,29,17,5,16,22,4,225,23,1,92,25,24,34,88,38,28
Acidovorax sp. RAC01,1,12,6,12,4,3,1,5,2,3,3,1,5,6,NA,4,6,3,4,NA,2,NA,1,1,2,NA,25,4,3,3,NA,4,10,9,12,17
Acidovorax antarcticus,1,11,3,6,53,35,28,47,66,17,6,11,17,10,8,20,5,13,94,28,12,6,11,4,9,3,27,1,10,39,55,44,82,61,64,84
Hydrogenophaga sp. NH-16,1,5,5,3,2,1,NA,9,7,5,1,NA,5,1,2,1,2,1,NA,11,NA,1,1,NA,1,NA,13,2,2,1,4,2,2,2,6,1
Hydrogenophaga sp. YM1,1,7,8,18,NA,1,3,2,10,2,2,1,3,4,6,3,1,7,3,4,1,2,NA,NA,3,NA,19,3,NA,2,6,5,3,4,2,NA
Kinneretia sp. DAIF2,3,27,22,41,21,25,13,27,29,4,10,3,38,41,42,89,21,18,20,21,6,6,50,111,36,4,96,11,5,28,20,16,32,36,28,17
Rhodoferax sediminis,1,7,8,12,14,7,11,8,13,4,1,2,4,2,2,14,1,5,9,2,1,1,4,3,2,1,19,4,NA,7,9,11,10,17,17,14
Rhodoferax sp. AJA081-3,1,25,16,18,2,1,1,1,5,4,5,1,8,31,20,89,4,3,NA,1,10,NA,65,120,38,1,15,7,NA,2,2,1,NA,NA,2,NA
Comamonas koreensis,1,61,39,26,NA,5,NA,2,2,4,1,NA,6,3,1,3,1,1,3,5,NA,4,NA,1,2,1,14,4,1,1,5,NA,2,3,2,3
Comamonas serinivorans,1,12,9,29,2,1,NA,6,2,4,3,NA,3,3,1,2,1,2,NA,1,NA,NA,NA,2,2,NA,16,4,NA,1,1,1,2,4,1,3
Ramlibacter tataouinensis,2,25,16,41,108,45,13,124,118,7,5,70,14,89,38,48,3,12,225,35,1,7,54,53,44,3,42,5,3,57,21,77,197,42,30,185
Alicycliphilus denitrificans,2,16,15,8,6,7,4,14,10,7,7,1,2,5,5,7,6,7,16,10,2,NA,1,4,5,NA,19,2,NA,3,4,8,6,12,6,11
Pulveribacter suum,1,8,4,19,2,NA,1,4,2,2,3,NA,1,2,1,3,2,3,2,6,NA,NA,NA,1,1,2,7,1,1,1,3,NA,1,1,3,1
Melaminivora sp. SC2-9,1,2,1,5,NA,1,NA,2,3,3,1,NA,4,NA,2,2,3,1,NA,2,NA,NA,NA,NA,NA,NA,19,1,NA,2,2,1,1,NA,1,1
Candidatus Symbiobacter mobilis,1,1,NA,NA,12,6,1,5,19,1,4,NA,3,2,2,3,5,1,5,5,1,2,2,4,2,NA,NA,NA,5,1,3,10,4,4,5,24
Simplicispira suum,1,4,5,14,1,NA,NA,3,1,2,2,NA,NA,2,4,NA,3,2,2,4,NA,NA,NA,1,1,NA,5,3,1,NA,3,1,NA,3,1,NA
Diaphorobacter sp. HDW4A,1,15,5,16,8,3,22,22,22,8,2,2,9,2,2,13,2,12,12,38,2,6,4,8,1,1,13,2,3,4,10,9,2,17,7,6
Hylemonella gracilis,1,14,6,7,13,2,2,10,12,2,3,NA,5,9,8,14,3,2,4,NA,5,3,7,15,10,2,24,3,NA,30,NA,5,13,22,9,14
Ottowia sp. 27C,1,9,16,17,32,15,19,34,36,2,10,2,17,7,3,29,6,1,31,13,13,10,9,9,4,3,34,4,5,51,25,38,40,68,34,43
Schlegelella thermodepolymerans,1,19,6,22,16,10,8,12,25,9,9,6,17,2,10,23,4,9,12,8,5,4,1,1,3,1,37,1,4,14,16,13,10,20,20,18
Polaromonas sp. JS666,1,12,10,45,20,13,33,24,20,28,17,NA,10,18,6,9,14,27,13,43,4,8,14,6,25,18,33,17,50,16,10,8,15,25,10,22
Aquabacterium olei,19,119,74,113,11,12,24,23,19,20,63,9,78,28,31,86,36,52,44,37,10,16,8,13,23,9,361,58,11,21,32,16,4,17,58,10
Thiomonas arsenitoxydans,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thiomonas sp. X19,1,9,6,18,10,4,2,9,13,NA,4,NA,2,3,3,3,NA,3,30,NA,1,3,3,5,3,NA,15,1,NA,6,3,17,20,14,6,45
Roseateles depolymerans,3,19,10,13,9,5,2,11,11,2,9,1,18,35,14,49,10,5,7,7,12,5,35,109,29,3,51,4,NA,33,15,9,10,22,23,9
Rhizobacter gummiphilus,2,16,23,24,8,11,20,21,16,12,1,13,9,10,5,16,8,7,4,43,2,5,5,4,7,1,53,5,3,8,12,11,7,14,20,11
Rhizobacter sp. AJA081-3,1,27,9,20,12,5,12,41,39,5,9,3,15,12,12,19,8,10,12,23,8,4,5,8,9,4,42,9,19,19,30,17,21,25,23,7
Paucibacter sp. KCTC 42545,2,10,10,22,6,5,1,9,6,3,5,7,9,6,4,11,6,9,4,3,7,3,1,NA,2,1,35,6,2,12,11,11,4,23,16,8
Leptothrix cholodnii,1,14,8,24,13,10,6,6,12,1,6,1,8,8,2,11,8,11,3,2,1,3,8,3,8,1,30,6,2,9,3,4,7,13,11,5
Sphaerotilus natans,1,12,9,22,5,NA,1,3,7,3,5,1,8,3,4,8,2,3,2,8,4,4,1,3,2,NA,24,3,1,6,4,4,1,NA,3,2
Mitsuaria sp. 7,1,15,13,19,5,3,1,9,14,2,10,NA,19,49,24,71,7,11,3,7,2,2,45,124,34,4,57,6,3,1,3,6,9,6,5,1
Inhella inkyongensis,1,14,8,18,3,4,3,4,7,NA,6,1,8,1,2,7,5,6,3,4,NA,1,3,3,2,NA,29,3,3,6,8,7,4,8,8,4
Achromobacter xylosoxidans,1,23,25,43,19,25,5,21,29,11,4,1,13,7,4,12,3,10,16,28,30,2,5,11,5,1,31,2,8,69,12,10,22,51,28,28
Bordetella avium,1,4,2,6,5,1,NA,NA,5,NA,1,1,1,1,NA,3,NA,NA,7,2,1,1,NA,1,2,NA,3,1,NA,9,1,3,10,7,4,13
Bordetella hinzii,1,6,2,24,23,17,NA,13,31,6,1,1,4,61,26,99,2,10,49,4,2,2,80,173,57,3,5,NA,4,4,9,14,38,12,5,53
Janthinobacterium agaricidamnosum,1,5,6,10,10,10,12,16,18,1,4,2,9,10,7,11,2,9,10,22,4,2,6,5,1,NA,12,2,3,24,7,21,14,32,12,16
Janthinobacterium sp. 1_2014MBL_MicDiv,1,6,16,10,21,15,3,8,8,1,7,1,9,1,3,3,1,7,13,1,21,6,NA,1,2,2,21,3,1,81,5,10,20,55,24,49
Neisseria sicca,19,53275,42914,123533,373,99,1099,420,258,200,622,92,1110,63,130,210,126,175,348,273,4272,1271,22,63,69,24,1546,132,89,150,333,102,531,206,689,256
Neisseria mucosa,7,50407,27983,100382,27,68,36,663,109,403,1133,100,1492,19,18,37,14,28,111,172,23796,2949,2,8,17,2,1714,18,13,129,10,40,43,159,22,82
Neisseria elongata,3,15662,9933,28162,40,33,31,171,46,28,130,14,323,9,19,10,8,16,95,19,2416,357,6,9,8,5,532,9,7,49,19,10,38,44,36,36
Neisseria bacilliformis,3,599,620,1209,5,4,3,15,9,15,29,3,46,11,9,23,8,26,6,9,109,17,2,5,8,3,111,23,NA,5,3,4,6,6,15,3
Neisseria sp. KEM232,1,653,827,1570,17,9,11,30,29,7,2,2,22,5,5,8,4,4,12,8,108,20,9,6,5,2,31,NA,8,38,23,16,21,34,20,16
Neisseria chenwenguii,1,489,388,1065,16,8,73,33,61,2,13,7,19,NA,6,15,6,9,34,11,152,9,6,5,2,NA,26,2,64,4,14,29,11,6,7,14
Neisseria meningitidis,1,10511,6543,21761,59,36,25,162,49,91,305,30,357,4,13,21,3,3,46,24,6071,673,8,6,6,2,394,3,2,61,38,19,30,77,33,51
Neisseria subflava,1,58277,26355,106466,216,65,1442,1243,182,807,2510,241,3230,40,83,63,88,89,325,492,55297,5855,2,36,20,4,3515,46,51,204,393,72,333,200,711,152
Kingella oralis,2,680,861,2490,NA,1,3,1,1,1,4,NA,18,3,1,5,5,5,2,6,52,7,2,1,1,1,27,1,3,NA,1,2,NA,3,1,1
Kingella denitrificans,1,1858,3682,24190,5,4,2,25,2,100,43,2,66,2,1,1,3,3,6,2,192,190,1,3,6,2,97,4,1,8,1,2,8,24,11,10
Eikenella corrodens,1,1681,2234,5186,298,73,163,680,62,10,143,12,138,50,46,124,9,5,266,16,510,273,83,173,69,4,930,10,156,49,21,37,150,135,476,158
Aromatoleum bremense,1,10,5,24,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3,1,6,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,NA,1
Azoarcus sp. DN11,1,NA,2,18,21,9,1,38,32,NA,2,17,3,30,63,13,1,2,27,7,20,6,15,18,5,4,7,2,1,79,5,15,32,34,20,31
Bradyrhizobium sp. PSBB068,115,430,388,558,16,12,111,131,63,83,273,49,470,191,154,341,191,273,136,178,63,75,38,72,135,40,1471,325,30,68,62,92,11,111,334,13
Bradyrhizobium sp. BTAi1,10,69,123,54,45,24,34,63,68,11,39,21,41,24,20,56,20,33,49,24,31,23,30,21,45,13,126,29,12,50,52,54,43,68,67,39
Bradyrhizobium sp. SK17,7,150,219,89,17,23,65,28,31,17,100,45,31,9,13,14,19,18,75,26,46,57,20,23,53,27,171,46,31,16,35,8,12,27,312,19
Bradyrhizobium betae,2,13,12,19,25,26,84,17,11,4,22,8,34,11,5,12,14,4,17,10,31,10,12,7,8,9,55,15,4,94,13,23,35,91,37,38
Sinorhizobium meliloti,2,5,7,9,28,19,16,18,37,7,5,8,11,9,5,23,9,17,31,12,8,2,5,3,4,6,10,4,9,26,17,32,28,28,17,18
Caenibius tardaugens,1,4,12,11,1,2,NA,2,NA,NA,NA,NA,5,1,NA,1,1,2,3,NA,5,1,NA,1,1,1,4,NA,NA,8,NA,4,2,11,4,6
Methylocella silvestris,1,NA,NA,1,26,15,13,19,27,2,1,NA,12,7,2,15,NA,NA,32,3,1,7,1,NA,1,1,4,NA,NA,24,20,26,34,42,22,35
Sphingomonas alpina,1,3,6,8,32,10,1,23,29,7,2,4,12,11,3,19,22,5,54,6,11,3,2,1,7,11,17,12,NA,14,3,23,55,8,8,86
Sphingobium baderi,1,8,9,8,36,32,50,21,35,35,1,33,5,7,6,12,26,38,33,40,11,2,4,NA,27,44,53,47,6,16,19,21,34,9,13,62
Qipengyuania flava,1,3,1,3,16,9,8,19,26,3,2,NA,3,1,4,7,3,4,43,4,5,2,3,1,1,NA,3,1,NA,18,7,19,38,22,15,38
Tsuneonella amylolytica,1,2,1,5,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,6,2,NA,NA,NA,NA,NA,5,5,1,NA,5,NA,NA,NA,NA,1,NA,1,NA,NA
Magnetospirillum sp. XM-1,1,5,9,14,1,3,NA,1,5,1,NA,2,NA,NA,NA,2,NA,3,4,4,4,1,NA,6,2,NA,4,NA,2,1,1,1,2,5,NA,NA
Caulobacter vibrioides,1,24,21,17,10,8,12,23,23,5,4,5,12,72,60,138,8,10,3,13,2,7,79,199,70,3,24,1,3,10,8,14,8,13,16,9
Pseudomonas azotoformans,1,1,10,9,33,20,3,22,34,4,3,4,1,NA,5,3,NA,3,53,5,NA,2,NA,3,6,NA,9,NA,NA,9,1,22,49,8,3,74
Pseudomonas sp. SCB32,1,5,9,3,6,4,26,4,3,2,NA,5,11,3,4,4,2,1,6,NA,6,10,4,5,3,NA,4,NA,8,3,3,7,5,10,1,5
Pseudomonas stutzeri,1,37,54,54,124,61,67,150,150,28,24,25,34,43,27,54,21,34,160,65,59,15,38,45,26,7,44,19,16,201,70,90,158,202,105,182
Pseudomonas putida,1,56,67,83,14,19,5340,62,42,158,14,17,15,47,31,22,10,21,35,37,14,10,21,10,16,2,26,11,9,30,18,46,41,153,21,31
Pseudomonas aeruginosa,1,41,34,64,93,70,184,165,160,23,31,81,47,207,74,179,26,43,171,94,11,19,161,307,90,9,68,14,21,90,48,86,150,85,46,157
Acinetobacter johnsonii,1,28,14,13,24,8,8,25,3,27,4,1,16,7,12,23,6,15,6,19,39,3,4,5,6,NA,21,22,2,77,5,7,11,52,17,37
Moraxella osloensis,2,41,15,25,9,9,11,27,25,17,2,4,4,1,7,20,4,25,16,17,12,2,3,10,6,1,43,35,1,34,11,14,21,27,9,19
Klebsiella michiganensis,3,7,12,3,7,5,11,23,21,NA,14,3,30,10,6,20,3,3,13,3,1,13,6,18,5,NA,24,1,2,8,5,5,11,21,9,17
Escherichia coli,2,61,68,65,54,54,175,64,66,87,48,19,83,19,23,104,59,32,54,94,73,84,32,29,22,7,109,42,94,35,47,44,104,95,75,80
Raoultella terrigena,1,3,2,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,2,2,NA,NA,6,2,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,2,2,4,1,2
Haemophilus parainfluenzae,7,29080,35618,33925,896,25505,4511,2790,564,934,1028,111,2124,95,184,88,86,105,1726,1664,143497,10349,80,66,200,158,24216,104,551,2151,95,853,3595,1958,1405,4804
Aggregatibacter aphrophilus,2,7500,4488,6019,41,90,131,75,13,7,43,7,113,4,8,17,3,3,45,13,2686,272,9,3,5,6,11236,6,20,20,8,16,37,21,82,126
Xanthomonas campestris,1,12,9,12,1,1,1,2,1,NA,5,NA,7,2,1,13,NA,2,3,4,3,3,1,5,7,NA,367,NA,NA,5,NA,NA,4,12,2,4
Stenotrophomonas acidaminiphila,1,5,9,6,17,4,NA,9,14,1,1,1,2,NA,2,2,1,1,27,1,1,3,NA,1,NA,NA,4,NA,NA,5,NA,8,20,3,4,34
Rhodanobacter sp. FDAARGOS 1247,1,3,4,15,10,9,14,15,14,2,1,3,3,1,1,9,2,2,12,4,3,1,3,3,NA,2,3,NA,4,12,14,12,9,32,19,19
Dyella caseinilytica,1,NA,2,9,53,25,45,55,37,4,10,8,15,4,6,25,3,3,31,9,24,10,10,9,7,2,21,2,2,118,47,49,54,100,44,58
Ectothiorhodospira sp. BSL-9,1,2,3,5,42,20,24,92,61,11,NA,80,10,78,64,44,7,10,124,40,5,3,79,61,45,5,6,NA,10,49,20,47,100,46,5,61
Shewanella sp. FJAT-51800,1,6,23,24,4,1,NA,60,78,NA,4,2,5,4,4,7,4,2,16,1,2,5,4,8,3,NA,17,NA,NA,14,12,17,22,18,19,4
Aeromonas sp. ASNIH4,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
Actinomyces sp. oral taxon 169,49,23344,39249,22674,9797,114,233,2203,7483,104,707,211,557,181,171,900,202,485,8254,277,265,276,27,142,893,992,4264,708,181,2364,2372,17648,3780,10487,7130,2630
Actinomyces sp. HMT 175,18,8083,15547,9738,6080,73,125,1943,4594,73,435,153,222,49,80,422,86,291,5495,171,114,204,6,61,901,638,2350,400,101,1483,1485,12126,2278,6708,5049,1898
Actinomyces sp. oral taxon 171,6,20419,40938,36199,16444,150,301,3130,12231,71,641,266,310,47,78,892,124,467,13809,208,133,223,8,157,1047,1704,4993,876,308,3493,3508,29137,5945,17700,11227,4157
Actinomyces sp. oral taxon 414,2,4613,6588,10354,688,217,81,414,774,151,101,44,144,30,37,124,50,80,719,389,69,112,30,35,185,89,349,33,89,281,387,1243,451,1538,749,278
Actinomyces oris,38,31894,59347,40947,25859,297,418,6099,19673,143,1641,496,715,114,201,1625,253,820,23163,411,519,649,21,280,2377,2742,9238,1536,465,6124,5617,48511,9418,28240,19129,6780
Actinomyces naeslundii,8,15567,37310,23732,6518,139,95,1424,5044,89,419,104,281,53,63,453,91,243,5676,296,236,144,14,66,540,705,2382,410,153,1481,1465,11952,2411,7158,4511,1794
Actinomyces viscosus,3,4937,10993,9642,6772,189,96,1376,5496,116,255,128,151,21,35,464,57,224,6227,269,77,109,3,65,507,764,2374,389,131,1498,1451,13085,2525,7816,4742,1692
Actinomyces lilanjuaniae,1,146,276,312,183,69,2,110,196,78,10,3,31,1,3,12,18,28,157,144,6,22,1,3,75,29,63,12,24,43,101,257,82,233,112,50
Actinomyces marmotae,1,173,352,394,119,111,2,117,202,82,16,9,52,10,10,12,30,46,151,236,4,22,10,2,48,19,97,10,42,51,110,241,67,180,133,53
Schaalia odontolytica,1,157189,351922,308792,9775,239504,164,232430,148150,98001,25716,12417,140758,13152,15851,24284,20058,24723,43953,390126,39546,45050,8417,9471,18494,3456,96829,668,33419,51510,90127,48087,35953,53786,116223,51885
Rothia aeria,41,31508,57536,88479,195,46,146,141,161,87,492,68,670,93,112,241,103,173,196,191,2708,347,23,56,84,30,1115,179,42,60,95,137,230,103,198,163
Rothia dentocariosa,13,65869,164109,157823,11,26,43,45,40,26,481,120,1053,87,72,145,39,61,41,75,2268,1172,40,99,71,10,853,58,16,25,25,37,13,43,47,9
Dermacoccus nishinomiyaensis,3,57,30,55,38,44,61,50,73,20,4,29,9,7,7,25,7,6,43,55,9,10,13,8,7,1,36,5,14,35,41,25,31,66,43,28
Microbacterium sp. RG1,1,12,30,41,4,29,NA,33,66,19,2,1,5,5,2,7,9,15,10,59,1,NA,2,5,1,NA,4,NA,22,1,22,6,13,8,14,8
Corynebacterium matruchotii,18,2268,8357,4319,10,7,17,42,37,23,54,10,109,25,38,64,30,58,23,40,43,32,8,14,35,5,315,41,5,20,11,36,17,47,30,11
Corynebacterium tuberculostearicum,1,58,94,115,56,25,2,73,71,11,7,1,21,3,4,14,41,6,41,26,52,17,4,7,9,4,32,2,5,131,16,25,78,117,54,81
Corynebacterium kutscheri,1,12,9,13,4,2,58,16,22,46,8,8,10,6,5,14,47,62,23,26,2,11,5,5,42,69,9,109,59,7,6,26,4,13,8,9
Nocardia brasiliensis,1,43,65,85,4,14,1,40,19,14,2,4,2,2,3,5,1,3,8,64,2,5,NA,NA,5,NA,6,NA,4,8,15,9,6,18,12,12
Rhodococcus sp. PBTS 1,1,13,20,21,18,15,NA,17,30,1,NA,2,9,4,1,3,NA,3,31,11,2,1,1,1,6,3,9,NA,NA,6,4,21,21,12,8,45
Cutibacterium acnes,14,405,267,297,39,124,50,237,149,56,39,18,180,43,38,401,30,128,71,344,22,41,26,50,41,12,251,46,24,52,64,90,30,90,89,56
Pseudopropionibacterium propionicum,2,16544,29619,41313,149,431,36,678,416,370,59,161,211,212,99,122,97,134,438,1011,112,110,132,113,104,25,475,11,138,178,349,221,265,232,242,158
Frankia inefficax,1,20,26,43,6,9,NA,36,32,7,4,NA,6,3,3,24,4,8,15,8,6,1,4,9,2,4,10,1,5,11,11,14,18,18,22,15
Streptococcus sanguinis,15,102499,154327,167736,10883,6554,2305,1910,1552,473,3923,1438,11734,1308,1162,1337,203,285,1247,730,60854,91778,1225,1287,1041,603,107338,954,17854,1315,1736,938,8264,4676,792,6196
Streptococcus oralis,7,175110,388230,359759,11222,5806,3275,2161,2746,2764,278562,14279,162600,6471,13729,660,231,351,3258,1034,1366083,131104,514,13502,1021,849,61646,1305,9953,2639,1376,1580,9517,3297,1243,27051
